cod_universidad_destino,des_universidad_destino,URI_universidad_destino,wikidata_universidad_destino,curso_academico,cod_pais_univ_origen,des_pais_univ_origen,wikidata_pais_univ_origen,URI_pais_univ_origen,des_genero,id_matricula_b2,des_tipo_programa_mov,des_programa_movilidad,id_matricula_b3,cod_pais_nacionalidad,des_pais_nacionalidad,URI_pais_nacionalidad,wikidata_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,URI_continente_nacionalidad,wikidata_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,URI_agregacion_paises_nacionalidad,wikidata_agregacion_paises_nacionalidad,id_matricula_b4,anio_nacimiento,id_matricula_b5,des_nivel_formativo_destino,id_matricula_b6,cod_universidad_origen,des_universidad_origen,URI_universidad_origen,wikidata_universidad_origen,des_ambito_univ_origen,cod_municipio_univ_origen,des_municipio_univ_origen,URI_municipio_univ_origen,wikidata_municipio_univ_origen,wikidata_univ_origen,lat_pais_univ_origen,lon_pais_univ_origen,cod_continente_univ_origen,des_continente_univ_origen,URI_continente_univ_origen,wikidata_continente_univ_origen,cod_agregacion_paises_univ_origen,des_agregacion_paises_univ_origen,URI_agregacion_paises_univ_origen,wikidata_agregacion_paises_univ_origen,id_matricula_b7,cod_municipio_destino,des_municipio_destino,URI_municipio_destino,wikidata_municipio_destino,lat_municipio_destino,lon_municipio_destino,cod_comunidad_destino,des_comunidad_destino,URI_comunidad_destino,wikidata_comunidad_destino,cod_provincia_destino,des_provincia_destino,URI_provincia_destino,wikidata_provincia_destino,des_ambito_univ_destino,id_matricula_b8,mes_inicio_programa,mes_fin_programa
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,250,Francia,https://www.wikidata.org/wiki/Q142,http://www.semanticweb.org/universidata/resource/pais/francia,Mujer,UVA-c975a75da42268eff10a866ebd843893,Estudios Y/o Proyecto Fin De Grado,Erasmus +,UVA-d03e8e4da7230c536640627078d609d7,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-86ac2aef360a0325dde85766327d7ce1,1998,UVA-d7210ff05407681b85deb2ae2d335b4b,Grado,UVA-f5680a5a56a96904bd98acc1789ae3b9,F Bordeau03,Universite Michel De Montaigne - Bordeaux 3,http://www.semanticweb.org/universidata/resource/universidad/universite-michel-de-montaigne---bordeaux-3,https://www.wikidata.org/wiki/Q13342,,,Pessac Cedex,http://www.semanticweb.org/universidata/resource/municipio/pessac-cedex,,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-dec69084fb5f86d3ba357495f53fe518,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,41.65295,-4.728388,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,,UVA-5652a7610962bf5b6293da26c2dd5c0b,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,250,Francia,https://www.wikidata.org/wiki/Q142,http://www.semanticweb.org/universidata/resource/pais/francia,Mujer,UVA-316c4523da35acdf179a8c869dc9f5ad,Estudios Y/o Proyecto Fin De Grado,Erasmus +,UVA-43a0292221b58d663093efb119427093,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-ccddd2f6a201ed5275256d29eacbb04a,1997,UVA-6d95103cb9bcd6e858190b26156953de,Grado,UVA-056e6361efde0558f282082b7c435d78,F Angers01,Universite D angers,http://www.semanticweb.org/universidata/resource/universidad/universite-d-angers,https://www.wikidata.org/wiki/Q1538727,,,Angers Cedex 01,http://www.semanticweb.org/universidata/resource/municipio/angers-cedex-01,,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-337777e82c938b8903f47f67daf5bb41,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,41.65295,-4.728388,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,,UVA-4076ccc417285ac1d53381fe09ff2e2f,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,250,Francia,https://www.wikidata.org/wiki/Q142,http://www.semanticweb.org/universidata/resource/pais/francia,Mujer,UVA-9d549629e887a2dd05fb17cb46957c59,Estudios Y/o Proyecto Fin De Grado,Erasmus +,UVA-c712eadb017d61dc917d689a97605fbf,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-adc9363d5bf87cd3128f541be058121e,1996,UVA-0bfb701e6f91682a3f3c2ce5903aac23,Grado,UVA-60afe84e5abe698aa51da1536486ff2f,F Limoges01,Universite De Limoges,http://www.semanticweb.org/universidata/resource/universidad/universite-de-limoges,https://www.wikidata.org/wiki/Q2661290,,,Limoges,http://www.semanticweb.org/universidata/resource/municipio/limoges,https://www.wikidata.org/wiki/Q45656,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-e30cbe13c0ba1efcaecff69a4d9e5e5f,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,41.65295,-4.728388,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,,UVA-6c8a4987f60567acaea6353f3f871e5f,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,250,Francia,https://www.wikidata.org/wiki/Q142,http://www.semanticweb.org/universidata/resource/pais/francia,Mujer,UVA-2cb28059541af7f95caa6a5deb9d7c22,Estudios Y/o Proyecto Fin De Grado,Erasmus +,UVA-a5443263b68cfbaf5e59dc9ff460167c,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-748a769fd5f1dae3c7d355e489aa355d,1997,UVA-32d3f59dbc8070397b6eda6f351967ec,Grado,UVA-bb84ead9c098d352442a0bcd208f228c,F Lille15,Ecole Des Hautes Etudes Commerciales Du Nord,http://www.semanticweb.org/universidata/resource/universidad/ecole-des-hautes-etudes-commerciales-du-nord,,,,Lille Cedex,http://www.semanticweb.org/universidata/resource/municipio/lille-cedex,,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-8cffecdceeb10fb221731b2252ca73d2,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,41.65295,-4.728388,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,,UVA-dc6b197bb833f945f91f6f62206bcfc0,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,250,Francia,https://www.wikidata.org/wiki/Q142,http://www.semanticweb.org/universidata/resource/pais/francia,Mujer,UVA-3bb8bec9b585330f42f0216a205b59f9,Estudios Y/o Proyecto Fin De Grado,Erasmus +,UVA-6278e85307d810b373f5194c2ddf5460,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-06174a801689534119919247c9d6ce8d,1996,UVA-0360c1bc0415b2f0c2e3d33d8660d507,Grado,UVA-49f801148b8d9ac02898e7cd03955c0b,F Lille01,Universite Lille 1 - Sciences Et Technologies,http://www.semanticweb.org/universidata/resource/universidad/universite-lille-1---sciences-et-technologies,,,,Villeneuve D ascq,http://www.semanticweb.org/universidata/resource/municipio/villeneuve-d-ascq,,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-a15c159b1b78ca14ada62f6b8f2d69d6,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,41.65295,-4.728388,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,,UVA-e292068049152392c565ee5f98539e02,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,250,Francia,https://www.wikidata.org/wiki/Q142,http://www.semanticweb.org/universidata/resource/pais/francia,Mujer,UVA-e87fffbcbb0f2ee264ca09bf0abcf705,Estudios Y/o Proyecto Fin De Grado,Erasmus +,UVA-bf322cc6f82fdf838fefaeccdde10d68,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-6d7d22b768d4226400e3d683e709bf6a,1998,UVA-c9845c34a3979f21520bbb91761c24be,Grado,UVA-0a61c0beae35e093cfea22f31cdf62e6,F Arras12,Universite D artois,http://www.semanticweb.org/universidata/resource/universidad/universite-d-artois,https://www.wikidata.org/wiki/Q475504,,,Arras Cedex,http://www.semanticweb.org/universidata/resource/municipio/arras-cedex,,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-4ad3d90348fd28754e9544fd678d72aa,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,41.65295,-4.728388,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,,UVA-eb97a39cfd9710bbd84540bc24cbd0a7,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,250,Francia,https://www.wikidata.org/wiki/Q142,http://www.semanticweb.org/universidata/resource/pais/francia,Mujer,UVA-fbee55b5f6191f6c44e2f5ac259cf058,Estudios Y/o Proyecto Fin De Grado,Erasmus +,UVA-8710e56bd3828fa91b13d48b682a6b44,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-35d138d1302adb0ada94544d275dd5a5,1997,UVA-8954766f892e6b45f4e7925b8db7777f,Grado,UVA-236b04fb0a0021f5c1693cbeba5a674b,F Paris011,Universite Paris-sud paris 11,http://www.semanticweb.org/universidata/resource/universidad/universite-paris-sud-paris-11,,,,Orsay Cedex,http://www.semanticweb.org/universidata/resource/municipio/orsay-cedex,,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-8ed915d00809d3667e12f8dd51ccb416,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,41.65295,-4.728388,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,,UVA-c9f607bd7c7b93bfc4ec852b2340f6b8,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,250,Francia,https://www.wikidata.org/wiki/Q142,http://www.semanticweb.org/universidata/resource/pais/francia,Mujer,UVA-a7f5162c9967c754f413f4a66dc4003e,Estudios Y/o Proyecto Fin De Grado,Erasmus +,UVA-69f5793ddeb23ec7cceed02f096b0ac3,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-7bfef29607adf9415f44cc8a736d09f9,1997,UVA-a3d24f6df1680eae3b5b72c540ab0490,Grado,UVA-c1703beabb63f7b217fce0457e1e9cf5,F Vannes04,Universite De Bretagne-sud,http://www.semanticweb.org/universidata/resource/universidad/universite-de-bretagne-sud,https://www.wikidata.org/wiki/Q1125958,,,Lorient,http://www.semanticweb.org/universidata/resource/municipio/lorient,,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-0a6df1c30c303502fdad58e6b242b383,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,41.65295,-4.728388,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,,UVA-e6ebad5b25a27d002a9d79665c89b58d,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,250,Francia,https://www.wikidata.org/wiki/Q142,http://www.semanticweb.org/universidata/resource/pais/francia,Mujer,UVA-2981d8239e31d138d127bdece83d1b78,Estudios Y/o Proyecto Fin De Grado,Erasmus +,UVA-dcd84dc482f9dd9edb8246868578f880,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-db7ae1e4c998a2e7c85e240b1aa5a1f0,1999,UVA-e258fcd1cc5bc648fbd2b8d653e0b3a7,Grado,UVA-016c49f6ee491dd85f7b5e858c27e347,F Lille15,Ecole Des Hautes Etudes Commerciales Du Nord,http://www.semanticweb.org/universidata/resource/universidad/ecole-des-hautes-etudes-commerciales-du-nord,,,,Lille Cedex,http://www.semanticweb.org/universidata/resource/municipio/lille-cedex,,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-c058d6d0693359954785a51ae2ee4950,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,41.65295,-4.728388,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,,UVA-e2a12b04785115b665f10dd7e88c9122,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,250,Francia,https://www.wikidata.org/wiki/Q142,http://www.semanticweb.org/universidata/resource/pais/francia,Mujer,UVA-db8f81630ab866d6199afdef27cde002,Estudios Y/o Proyecto Fin De Grado,Erasmus +,UVA-d9daca6e1a1e58e71d00455deb410f48,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-63f248bf414a257bde21bfdde0b32784,1997,UVA-86e481e4beb0b93f97cb434bd8f2e125,Grado,UVA-70d87978094ef0c99fc2a77a982d9e00,F Le-havr11,Universite Du Havre,http://www.semanticweb.org/universidata/resource/universidad/universite-du-havre,https://www.wikidata.org/wiki/Q1784954,,,Le Havre,http://www.semanticweb.org/universidata/resource/municipio/le-havre,https://www.wikidata.org/wiki/Q42810,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-d1189e059189a81c0a1dd665a71cadea,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,41.65295,-4.728388,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,,UVA-d793d1105d2dee63f8db1c82b5dcf820,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,250,Francia,https://www.wikidata.org/wiki/Q142,http://www.semanticweb.org/universidata/resource/pais/francia,Mujer,UVA-13f021fff3dc2c3651d8bb39d7242a56,Estudios Y/o Proyecto Fin De Grado,Erasmus +,UVA-f91b17a397a27b6d3990fb4d2124bec4,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-a0ac873a86f6f41bc561418135fb5fc1,1996,UVA-f8dd7015255ce22e0c0e8fff6bfced89,Grado,UVA-f6bc7e7bff98a06c41b50a7ab2bb67f1,F St-deni01,Universite De La Reunion,http://www.semanticweb.org/universidata/resource/universidad/universite-de-la-reunion,https://www.wikidata.org/wiki/Q834819,,,Saint-denis Messag.9 Cedex,http://www.semanticweb.org/universidata/resource/municipio/saint-denis-messag.9-cedex,,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-85b585c085f5ff96d844017a0e0c54a4,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,41.65295,-4.728388,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,,UVA-523035ae57973d840664df74ab442653,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,250,Francia,https://www.wikidata.org/wiki/Q142,http://www.semanticweb.org/universidata/resource/pais/francia,Mujer,UVA-7fe87f5611cc90cebb282dc88b226f56,Estudios Y/o Proyecto Fin De Grado,Erasmus +,UVA-ed2e0693ff01a20abe74e8228106fa2d,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-861d4caca5f7714c2ef7a8d2032f9f75,1996,UVA-7fd29b7791917b0eb7cbc10cd3ffed66,Grado,UVA-ca01fb856e192155a07fced9c26d2965,F Anjou02,Groupe Esaip,http://www.semanticweb.org/universidata/resource/universidad/groupe-esaip,,,,St Barthelemy D anjou Cedex,http://www.semanticweb.org/universidata/resource/municipio/st-barthelemy-d-anjou-cedex,,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-16f4802eeee0d8d1d9a678d80d794787,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,41.65295,-4.728388,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,,UVA-aab48b7a03d869e4208a1095319ea90d,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,250,Francia,https://www.wikidata.org/wiki/Q142,http://www.semanticweb.org/universidata/resource/pais/francia,Mujer,UVA-a3c4254ff4e207056c3dac542a46bc6e,Estudios Y/o Proyecto Fin De Grado,Erasmus +,UVA-be0aabe8191da6b6dc6c482a36a8862d,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-d334eedcc23b4d6e64269d3da8177be7,1998,UVA-9102020f5f2681b00ed7a9b895aeef46,Grado,UVA-582f3b72d163307e0c6204ad4720ad8a,F Nantes01,Universite De Nantes,http://www.semanticweb.org/universidata/resource/universidad/universite-de-nantes,https://www.wikidata.org/wiki/Q259388,,,Nantes Cedex 1,http://www.semanticweb.org/universidata/resource/municipio/nantes-cedex-1,,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UVA-a37c40f114456428243144d0c1dfcb5a,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,41.65295,-4.728388,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,,UVA-e561cda9eb6f8b419592b09a2bef9bce,2017-09-01,2018-06-01
