cod_universidad,des_universidad,URI_universidad,wikidata_universidad,anio,des_tipo_personal,des_genero,id_empleado_b2,cod_pais_nacionalidad,des_pais_nacionalidad,URI_pais_nacionalidad,wikidata_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,URI_continente_nacionalidad,wikidata_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,URI_agregacion_paises_nacionalidad,wikidata_agregacion_paises_nacionalidad,id_empleado_b3,cod_comunidad_residencia,des_comunidad_residencia,URI_comunidad_residencia,wikidata_comunidad_residencia,cod_provincia_residencia,des_provincia_residencia,URI_provincia_residencia,wikidata_provincia_residencia,cod_municipio_residencia,des_municipio_residencia,URI_municipio_residencia,wikidata_municipio_residencia,lat_municipio_residencia,lon_municipio_residencia,id_empleado_b4,anio_nacimiento,id_empleado_b5,anio_incorporacion,id_empleado_b6,ind_otra_unidad,cod_otra_unidad,des_otra_unidad,id_empleado_b7,des_servicio_prestado,id_empleado_b8,des_cuerpo_escala_PAS,des_tipo_contrato,des_titulacion_exigida,des_dedicacion,num_horas_semanales_tiempo_parcial,id_empleado_b9,des_situacion_administrativa,id_empleado_b10,ind_cargo_remunerado,id_empleado_b11,ind_imparte_docencia,id_empleado_b12,num_trienios
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2020,Funcionario De Carrera,Mujer,UAM-ff602c9892ff5876d394b663f8a680e0,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-2b6ca0982d18ad5c091427dfbe1c7722,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,40.41669,-3.700346,UAM-f919b25d3042dbd027e054d27fef2ac7,1965,UAM-cc76b2206651d7dd10ccde59642e0a8b,1999,UAM-8a714ef60edd8e0fbb6c0c26bb5338c1,false,,,UAM-15789af6d85eb7de10ce1a2295131a30,Personal Administrativo De Nivel General,UAM-2a4b3a0fb713941425201f9fa20a2631,Subgrupo A2,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UAM-b482355ab19848cf4d6cb99d312eaf0f,Servicio Activo,UAM-7522ac1f1b55fae3532dd62802fbb793,false,UAM-f8cc1889eb4706fd201e428caf47242e,false,UAM-279a56781fe08b6df1257aa8d288bc0a,9
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2020,Funcionario De Carrera,Mujer,UAM-00076ce6be7563ae9ee8f8d6b9abe85a,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-825f761aaa01853c9705fe34db104d61,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,40.41669,-3.700346,UAM-283ec0057cdcb9287737e03f7bdbfddd,1956,UAM-fa309a65a23b417954cc8381c26a3b26,1988,UAM-38f7591cd01d0b790d900bdc73de4c4a,false,,,UAM-471d9c53542175b32cfd12091dbc1eef,Personal De Apoyo Sanitario Y Social Al Alumnado,UAM-19723e5eb0296ee3f9042832600fec25,Subgrupo A1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UAM-ff18e349771851d3daaf364e3291f515,Servicio Activo,UAM-8250259f79f854eb068ba6f274765220,false,UAM-17d15e5ef85d26d3da7946f5356c05a0,false,UAM-dd904b465d4a33fb9f8defbb2a145716,9
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2020,Funcionario De Carrera,Mujer,UAM-9708edc76d3ac5a55a0010e1c4281e3e,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-7eca506b9c595e09d669fd608db4da3d,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,40.41669,-3.700346,UAM-667c4cc1a7a50d119bdeb800ee1625a2,1983,UAM-815df1fa214ac2b23a5e0faeb9b301e1,1997,UAM-b339a1b72fb7eb064e75abafdb80446d,false,,,UAM-017d22409ebbedf254ad4434d53c9b25,Personal Administrativo De Nivel General,UAM-fdc8bf200c988b2c9cc34a5e3319c5ed,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UAM-fb047bed4144fa132d7bdd9044d3490f,Servicio Activo,UAM-510ea0f90d5d4f60fe1b9e2f07453cab,false,UAM-d0046146a41479be04ffbe6616bce86b,false,UAM-94a5d2113a8d7464a1f2a2b5d0d21be0,8
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2020,Funcionario De Carrera,Mujer,UAM-366954bc34e8ab05bae441c9714227a6,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-2d1bdf5d68cf35331016757f6a010c4b,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28074,Leganes,http://www.semanticweb.org/universidata/resource/municipio/leganes,https://www.wikidata.org/wiki/Q77433,40.32642,-3.758988,UAM-85a6789ccb939bcd8c8ab9bba06c43f7,1965,UAM-cf7eb5da38708f3d734d8eff9ebf0fec,1986,UAM-df084755c22cf456f0e1e71b49bb545a,false,,,UAM-1fefc83b81498550a9cb03ae431513fd,Personal Administrativo De Nivel General,UAM-f9e0c4b43658e861b84bf10f5881c155,Subgrupo A1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UAM-70f7f2309bff14d7411569286f676737,Servicio Activo,UAM-6dd47e5db6cb7c0d0367136b95d8d80a,false,UAM-0eeca4cf841de02f1038e07e3b3f0e2e,false,UAM-a169428036bc62229fb817307fd53145,11
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2020,Funcionario De Carrera,Mujer,UAM-cc1efd883929194f7d2b80b3e01bed23,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-a23dc94f9de4ec14550b88d78c247f97,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,40.41669,-3.700346,UAM-ae650fa763558e830ff9bde4acdf6e5d,1970,UAM-80f21c9ec261a8bc7afc40894017b079,1991,UAM-d28b1ce1c45dbeb3000f39fc3614db54,false,,,UAM-ef758b9aee30085af04f71fea593ac8b,Personal De Apoyo Sanitario Y Social Al Alumnado,UAM-4242906704927a74657bfcdbce141d49,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UAM-81d44fc85aef6dd0840125ba43526cb3,Servicio Activo,UAM-3cc72559d2d224a2fb7215957908b238,false,UAM-966d361d26a117f2b006bfdf51bc6dc2,false,UAM-2d2add1d90f18f3ac6393f53550914ea,5
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2020,Funcionario De Carrera,Mujer,UAM-dc346573c09cf7a97b731dca0f834270,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-dc6433abf64a06ac08d4837c1a3e931d,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,40.41669,-3.700346,UAM-479a57a9a60e2798114ec688276e6811,1961,UAM-709180f161630233f42dadf1526ca1b8,2008,UAM-1ecb05ed0d802e33662cdb465aab7cc9,false,,,UAM-41ab4877b1b169f2786babe786b3345c,Personal Administrativo De Nivel General,UAM-fb02077c95aa0926b1c0dfe0778aefe5,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UAM-6712bab4b899244ffaa5714e9c249097,Servicio Activo,UAM-0b07803b8b275a085a01b01493554b67,false,UAM-0e545b58ec41345970734d435750e9b1,false,UAM-976887fa04b9b0ee912a23ceb2766398,6
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2020,Funcionario De Carrera,Mujer,UAM-8f51f7da2c5a22a6c46df0897372b341,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-0d6ad37484127f42544ccf98339c8d7f,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,40.41669,-3.700346,UAM-1611534a554879cc5402309febabfa1f,1966,UAM-7f1ca42fcae89452c3a8b146eaba5009,2019,UAM-91795d504ece4793fab06e3cf20a1008,false,,,UAM-dc9482e65b000f31fa89ac8e42e8aa09,Personal Administrativo De Nivel General,UAM-032099ac4b93a1c5074a8fd20010463a,Subgrupo A1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UAM-96d2241441a8ee2f71f830246825c253,Servicio Activo,UAM-a3dad4b1dd2dda1f1f04b8f6a00bfb9b,false,UAM-174321b28dd67befe0a7d8e313ce98ee,false,UAM-cb2f794d6f79414472adaa343e02443b,10
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2020,Funcionario De Carrera,Mujer,UAM-89c270d03f96f73b38c07a91d265cdd4,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-c7e8034bf62f9e7a3071b55a10c35883,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28007,Alcorcon,http://www.semanticweb.org/universidata/resource/municipio/alcorcon,https://www.wikidata.org/wiki/Q10372,40.34912,-3.828811,UAM-8d2ba4ea37b4c5276ce40ed4406e2280,1960,UAM-e3c274d4bc17da6101d91b61d4d2d63e,2020,UAM-17ed3e37a8ff0a06587f070a83ae7d4f,false,,,UAM-7a15ef524d863a6b991e05d02bb3fb51,Personal Administrativo De Nivel General,UAM-6feadefb6c0cbada8f4ffde9629080de,Subgrupo A2,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UAM-077a8a65c4a757e70aef93056fd5fc69,Servicio Activo,UAM-4eb10d9b1fb58bca05cbe829b88bf0b4,false,UAM-cd95551b1cd247cc7f8de3cb51426c8c,false,UAM-004372e13f9a9d4d7c96bf6592f69443,10
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2020,Funcionario De Carrera,Mujer,UAM-1eafb74865c8338fd7e5991d7a77137a,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-951b27a8aebc0b37af2a3efe793baccc,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,40.41669,-3.700346,UAM-4dbfff210d880405a74897b3ee5a908e,1970,UAM-f93563588c355c150ec66c42947281ef,2011,UAM-0c03afc8193bee7c48b640e2e6741db5,false,,,UAM-721ba4fd5b33757dff241555ecec486f,Personal Administrativo De Nivel General,UAM-6f958ff6de94c45aa55a5a38d1fcff61,Subgrupo A2,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UAM-cb2db6fc376eb66d076ba268f04ad706,Servicio Activo,UAM-5a305e0bcb54346f0bbc64ab5c56bdc4,false,UAM-030ac202659219e42e7dedb2887a0363,false,UAM-71a9efa1289398bf9fd5bd88504820a3,3
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2020,Funcionario De Carrera,Mujer,UAM-06f655ad06de059fdc78abb03b16424d,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-8443926a3f6cdf3d8cc48e991b47446a,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,40.41669,-3.700346,UAM-8315183e430a6ba4c4e199e52d62f907,1962,UAM-744d523810e8a2a2feff24bbdac0158e,1986,UAM-e9590a764a2c35edb844ae040c6a8c32,false,,,UAM-2ddd21f8a48435d41e29df8a22a6a2e3,Personal Administrativo De Nivel Directivo,UAM-4263c8299f2b1bc2d7590b28e358dc0b,Subgrupo A1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UAM-3b70a066da782b2db13989590daf451f,Servicio Activo,UAM-62f077d84eb4975cd7c21dcfea3e3335,false,UAM-4327839c38dfd069161c4a371e558df3,false,UAM-6d4e048486b42c82bdbd078e1562e986,13
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2020,Funcionario De Carrera,Mujer,UAM-061df121bb4dfebf17640229a669ac88,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-7cefb91134347e7f209547efe0927d58,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28903,Tres Cantos,http://www.semanticweb.org/universidata/resource/municipio/tres-cantos,https://www.wikidata.org/wiki/Q910410,40.59907,-3.712258,UAM-648be87a0ce52b9a464de13b8fb535d1,1960,UAM-50967e5166ca354c804c594d768d4cb8,2007,UAM-3eb9b6806df316659926b2511693332d,false,,,UAM-d99ca871499bdb4aa0bddafea2de0871,Personal Administrativo De Nivel Directivo,UAM-a3d0e5ad6c243204efae27623394d765,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UAM-f2d152edf29c11d826450853f24ed2c2,Servicio Activo,UAM-da538349cbe6fe7f78161a3fce475cdd,false,UAM-0754ef212261bf25aecb250e6a075b3d,false,UAM-3326b285ee0e6a0dab303a681d303302,11
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2020,Funcionario De Carrera,Mujer,UAM-7409fb543283c16aecd3c432588ea133,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-80d069b946fc354e68088820946f5232,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28134,San Sebastian De Los Reyes,http://www.semanticweb.org/universidata/resource/municipio/san-sebastian-de-los-reyes,https://www.wikidata.org/wiki/Q484717,40.54751,-3.626394,UAM-d81126a9f34aff60800f8653703d5331,1959,UAM-26419899663bc619b2a6ae75dde38c7b,1983,UAM-33e4a585423e9b310d0fca1b7f018f44,false,,,UAM-e7b737c0424e17ba7d2efedf35e141e6,Personal De Apoyo Sanitario Y Social Al Alumnado,UAM-17a6634ad571c69da972cc2e3bdb04dd,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UAM-41f908d52b56dc9a9ca38fd9cf6d12bc,Servicio Activo,UAM-ad1f6a6146ee7a1c097ef7fcdeaedaa6,false,UAM-f07cdc5020d95c716dc28245dd71938b,false,UAM-c191edc22925e180f7b9a8689357ddaf,11
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2020,Funcionario De Carrera,Mujer,UAM-0d729d8d4ab25af4f64c00b49d4b5cc9,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-0b32ee84df4ae78054eef969a1dfb466,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,40.41669,-3.700346,UAM-efe5418fa947922b5b4426c50ca16a9b,1964,UAM-2c81b70f36d605c34ccb8c2cf7dee388,1991,UAM-cd94e082436e48c0a1f6054a6bce26ac,false,,,UAM-4ca00548270fc7b5b689ee1d79cee21e,Personal Administrativo De Nivel General,UAM-a9c339be88eeb1f118180293bb343303,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UAM-642ee1592dab8230a7bff47efa4f1a88,Servicio Activo,UAM-efbf52c9c06d05de82ed8484bc976235,false,UAM-65bd03de851066ec8b7cf66d442bb233,false,UAM-926adfb290650fc1e63555b9b2504509,6
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2020,Funcionario De Carrera,Mujer,UAM-6c8bbde4eb088a77a70efd58fcbe00fb,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-538dcfde0150c2cd3b9f5c2ceb2e5b33,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,40.41669,-3.700346,UAM-7d7529aa140596a9561143cafa86c169,1960,UAM-47f7f834c70df9d1252f7adefe37eaa2,1991,UAM-e0f7cd75328981f8c7616b81d846b110,false,,,UAM-49d068594688205c9768054ec384af4c,Personal Administrativo De Nivel General,UAM-e7d46b7586bf1403767438c93bc1c567,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UAM-f85d7495371ccba0cad7e7b28e87d4c0,Servicio Activo,UAM-65729e69dff05711934e3160f5c3de7b,false,UAM-906e435b095b9d8cb532f28a263f49aa,false,UAM-6fe992cb7e8bfa7179fc5b97f0d98fd5,11
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2020,Funcionario De Carrera,Mujer,UAM-b346a2d550d409ecb3cd1e4e03647eaa,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-212328113d14b90dac25720893338588,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,40.41669,-3.700346,UAM-8978ca87f9e80c9bddb00f830797dd16,1966,UAM-3b14238c48242bb58a5f7315aabb4868,1989,UAM-4277c38d13ce9ee6ba93fedd8bedccc6,false,,,UAM-3aeb3ca31927fd26b2cf5c6bf1bcec2c,Personal Administrativo De Nivel General,UAM-3544fb3584bca99de6cb72d9f81edaa0,Subgrupo C2,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UAM-9d73c157c22803ba7beb3cd1c682cac9,Servicio Activo,UAM-6e7d07265ddd06695151def4b591e1b6,false,UAM-28395d5cb69460cfa36fcbaa99e3bdfb,false,UAM-2ee0cadb7be779b3e93fc958bf22f7ee,11
