"curso_academico","cod_universidad","des_universidad","cod_tipo_estudio","des_tipo_estudio","cod_tipo_unidad_responsable","des_tipo_unidad_responsable","cod_unidad_responsable","des_unidad_responsable","cod_titulacion","des_titulacion","cod_rama","des_rama","cod_interuniversitario","des_interuniversitario","cod_rol_coordinacion","des_rol_coordinacion","cod_impartido","des_impartido","anio_inicio","cod_situacion_actual","des_situacion_actual","cod_grado_presencialidad","des_grado_presencialidad","cod_idioma_extranjero","des_idioma_extranjero","precio_credito_1","precio_credito_2","precio_credito_3","precio_credito_4","precio_credito_5","precio_tutela","num_creditos_necesarios","num_creditos_ofertados"
"2018-19","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027072","Facultad de Ciencias Económicas y Empresariales","2500269","Graduado o Graduada en Administración y Dirección de Empresas por la Universidad Autónoma de Madrid","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,39","40,02","82,3","113,71",,,"240","576"
"2018-19","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027096","Facultad de Filosofía y Letras","2502531","Graduado o Graduada en Antropología Social y Cultural por la Universidad Autónoma de Madrid","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2011","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,39","40,02","82,3","113,71",,,"240","264"
"2018-19","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027060","Facultad de Ciencias","2500475","Graduado o Graduada en Biología por la Universidad Autónoma de Madrid","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","26,14","48,03","98,75","136,44",,,"240","354"
"2018-19","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027060","Facultad de Ciencias","2501371","Graduado o Graduada en Bioquímica por la Universidad Autónoma de Madrid","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","26,14","48,03","98,75","136,44",,,"240","264"
"2018-19","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027084","Facultad de Derecho","2501026","Graduado o Graduada en Ciencia Política y Administración Pública por la Universidad Autónoma de Madrid","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,39","40,02","82,3","113,71",,,"240","288"
"2018-19","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027060","Facultad de Ciencias","2500265","Graduado o Graduada en Ciencia y Tecnología de los Alimentos por la Universidad Autónoma de Madrid","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","26,14","48,03","98,75","136,44",,,"240","234"
"2018-19","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027060","Facultad de Ciencias","2500264","Graduado o Graduada en Ciencias Ambientales por la Universidad Autónoma de Madrid","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","26,14","48,03","98,75","136,44",,,"240","330"
"2018-19","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28051271","Facultad de Formación de Profesorado y de la Educación","2500270","Graduado o Graduada en Ciencias de la Actividad Física y del Deporte por la Universidad Autónoma de Madrid","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","26,14","48,03","98,75","136,44",,,"240","360"
"2018-19","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027096","Facultad de Filosofía y Letras","2500794","Graduado o Graduada en Ciencias y Lenguas de la Antigüedad por la Universidad Autónoma de Madrid","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,39","40,02","82,3","113,71",,,"240","336"
"2018-19","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027084","Facultad de Derecho","2501134","Graduado o Graduada en Derecho por la Universidad Autónoma de Madrid","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,39","40,02","82,3","113,71",,,"240","450"
