id_muestra_titulacion,curso_academico,cod_universidad,des_universidad,URI_universidad,wikidata_universidad,des_tipo_estudio,des_tipo_unidad_responsable,des_unidad_responsable,wikidata_unidad_responsable,cod_unidad_responsable,cod_titulacion,des_titulacion,des_rama,des_interuniversitario,ind_rol_coordinacion,ind_impartido,anio_inicio,des_situacion_actual,des_grado_presencialidad,cod_idioma_extranjero,des_idioma_extranjero,precio_credito_1,precio_credito_2,precio_credito_3,precio_credito_4,precio_credito_5,precio_tutela,num_creditos_necesarios,num_creditos_ofertados
UCM-5576901da3fcc17c10d73a2797349250,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Bellas Artes,,28027126,2500811,Grado En Bellas Artes,Artes Y Humanidades,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,354
UCM-a65b8be580dd38f4ebe92eb26c9382e9,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Optica Y Optometria,,28026821,2500791,Grado En Optica Y Optometria,Ciencias De La Salud,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.81,49.26,98.75,136.44,,,240,324
UCM-d06ec2b7036e1e6ee4edceb4042c24a1,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Ciencias Matematicas,https://www.wikidata.org/wiki/Q5854706,28027849,2500693,Grado En Ingenieria Matematica,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,25.18,46.41,92.86,128.57,,,240,360
UCM-9639bc55740c5c8323773a33f378122a,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Ciencias Matematicas,https://www.wikidata.org/wiki/Q5854706,28027849,2500691,Grado En Matematicas,Ciencias,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,432
UCM-f47c5f0e38436259e39ef9301e7549e4,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Ciencias Matematicas,https://www.wikidata.org/wiki/Q5854706,28027849,2500833,Grado En Matematicas Y Estadistica,Ciencias,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,324
UCM-8a29c72433bdb3be274d6654439e4d5a,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Medicina,,28027035,2500812,Grado En Medicina,Ciencias De La Salud,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.81,49.26,98.75,136.44,,,360,576
UCM-b4b5c2d0dbf17dba40521ed6a0d9a3ae,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Psicologia,,28029044,2500310,Grado En Logopedia,Ciencias De La Salud,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,336
UCM-340a916f6e961edda71a274cdd817e55,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Ciencias De La Documentacion,,28042383,2500915,Grado En Informacion Y Documentacion,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,324
UCM-dc281266eeabf1a583fb3aa3d2845629,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Ciencias Fisicas,https://www.wikidata.org/wiki/Q5798392,28027758,2500689,Grado En Fisica,Ciencias,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,438
UCM-6333505c447117138715d6acce3baa71,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Ciencias Geologicas,,28027734,2500690,Grado En Geologia,Ciencias,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.81,49.26,98.75,136.44,,,240,297
UCM-a9cade366beee126f85fb3ff08c2e6bf,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Comercio Y Turismo,,28026730,2500981,Grado En Turismo,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,354
UCM-b9baa2b408c7281c4c49b634a36a9ed0,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,"Facultad De Enfermeria, Fisioterapia Y Podologia",https://www.wikidata.org/wiki/Q18613735,28029101,2500309,Grado En Enfermeria,Ciencias De La Salud,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.81,49.26,98.75,136.44,,,240,240
UCM-77f457e25ff3953bd532fbe0e5e84f93,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Psicologia,,28029044,2500692,Grado En Psicologia,Ciencias De La Salud,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,2,"Existen Planes Separados, Uno De Ellos En Ingles",21.94,41.05,82.30,113.71,,,240,390
UCM-186ddb34a0a97babf54bf7a0cf68b6d1,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Educacion,,28043119,2500913,Grado En Educacion Social,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,330
UCM-be30516b43ae14eef851459b3de5a276,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Educacion,,28043119,2500912,Grado En Maestro En Educacion Primaria,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,2,"Existen Planes Separados, Uno De Ellos En Ingles",21.94,41.05,82.30,113.71,,,240,430
UCM-4d02a43ac3683a33f7375c83b9c13e44,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Educacion,,28043119,2500911,Grado En Maestro En Educacion Infantil,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,360
UCM-23509552ce10890ae856a233bed8e807,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Educacion,,28043119,2500688,Grado En Pedagogia,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,348
UCM-e804d1fe828f1ddab410a61a8d8aa00b,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Derecho,,28027001,2500916,Grado En Relaciones Laborales Y Recursos Humanos,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,312
UCM-874ab3ac963600d40124f9e672b3bff7,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Ciencias Politicas Y Sociologia,https://www.wikidata.org/wiki/Q5854724,28026997,2500826,Grado En Antropologia Social Y Cultural,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,294
UCM-4b00f8333ba2df7f3cceabf0568aeba5,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Ciencias Politicas Y Sociologia,https://www.wikidata.org/wiki/Q5854724,28026997,2500832,Grado En Sociologia,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,360
UCM-8e5ea1cc42b11bba6baf7568c6b471b5,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Filosofia,,28027761,2500685,Grado En Filosofia,Artes Y Humanidades,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,324
UCM-2af4931095cdbf03c3c68d9b3f84ade1,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Ciencias Biologicas,,28027722,2500487,Grado En Biologia,Ciencias,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.81,49.26,98.75,136.44,,,240,360
UCM-765981c147510f2ec749949d3b30086d,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Odontologia,,28039293,2500311,Grado En Odontologia,Ciencias De La Salud,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.81,49.26,98.75,136.44,,,300,324
UCM-14e17091e6cda5131c66da29ac2bf2e5,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Ciencias Quimicas,,28027837,2500308,Grado En Quimica,Ciencias,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.81,49.26,98.75,136.44,,,240,312
UCM-beb16301754cc4e7e4c7c851f1a2772c,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Ciencias Quimicas,,28027837,2500312,Grado En Ingenieria Quimica,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,25.18,46.41,92.86,128.57,,,240,282
UCM-98fea6af0e0dcfde8e3d5645730d60f9,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Estudios Estadisticos,,28026869,2501031,Grado En Estadistica Aplicada,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,264
UCM-6b7f8d8547841b84d0d31a219ac68108,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Geografia E Historia,,28027746,2500687,Grado En Historia Del Arte,Artes Y Humanidades,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,384
UCM-628ce65a56b6056f48f7ad2cb32d1d51,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Geografia E Historia,,28027746,2500803,Grado En Geografia Y Ordenacion Del Territorio,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,306
UCM-71e67e94f107a7edc97dfad6929e0b8a,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Geografia E Historia,,28027746,2500686,Grado En Historia,Artes Y Humanidades,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,384
UCM-a069da29ce29fb8a88ccb67bc8ce4fc5,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Trabajo Social,,28036917,2500787,Grado En Trabajo Social,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,390
UCM-5fb57d4c192c5f09c1aec904996b54bb,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Comercio Y Turismo,,28026730,2500914,Grado En Comercio,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,342
UCM-032aa11229d994cfe434efdca0470564,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Filologia,https://www.wikidata.org/wiki/Q20014985,28027710,2500684,Grado En Filologia Clasica,Artes Y Humanidades,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,564
UCM-4b8d6be2c31d1720596fc20c879f690c,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Filologia,https://www.wikidata.org/wiki/Q20014985,28027710,2500802,Grado En Estudios Semiticos E Islamicos,Artes Y Humanidades,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,426
UCM-96c0c797b91b047d9f3e9f9ef0516de4,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Filologia,https://www.wikidata.org/wiki/Q20014985,28027710,2500682,Grado En Espanol: Lengua Y Literatura,Artes Y Humanidades,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,624
UCM-fbb7beda1d354ebf7450ef3aa2c8d150,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Filologia,https://www.wikidata.org/wiki/Q20014985,28027710,2500683,Grado En Estudios Ingleses,Artes Y Humanidades,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,1,Se Oferta En Ingles,21.94,41.05,82.30,113.71,,,240,720
UCM-7a1812576db182c2b0b6ccf55f3fd268,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Ciencias Economicas Y Empresariales,,28026985,2500825,Grado En Administracion Y Direccion De Empresas,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,2,"Existen Planes Separados, Uno De Ellos En Ingles",21.94,41.05,82.30,113.71,,,240,316
UCM-c7784270db6a8bc64e167ff1d58807c1,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Ciencias Economicas Y Empresariales,,28026985,2500910,Grado En Economia,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,2,"Existen Planes Separados, Uno De Ellos En Ingles",21.94,41.05,82.30,113.71,,,240,378
UCM-ccfbfe1bdb0659093c3bb0554af1e576,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Ciencias Politicas Y Sociologia,https://www.wikidata.org/wiki/Q5854724,28026997,2501343,Grado En Ciencias Politicas,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,360
UCM-4ba9360384a07887028f51753f5751d0,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Ciencias Politicas Y Sociologia,https://www.wikidata.org/wiki/Q5854724,28026997,2501209,Grado En Gestion Y Administracion Publica,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,288
UCM-7484c197128181f0c6e22d234746aa58,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Ciencias Politicas Y Sociologia,https://www.wikidata.org/wiki/Q5854724,28026997,2500831,Grado En Relaciones Internacionales,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,318
UCM-7e9c73a3cf6de3adb96cd11ae1e8fdc8,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Centro De Estudios Superiores Felipe Ii,,28049675,2500980,Grado En Traduccion E Interpretacion,Artes Y Humanidades,No Es Interuniversitario,,true,2009,En Proceso De Extincion,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,414
UCM-e50e376fbd4e76ec0d6452caca21b794,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Filologia,https://www.wikidata.org/wiki/Q20014985,28027710,2500774,Grado En Lenguas Modernas Y Sus Literaturas,Artes Y Humanidades,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,1290
UCM-d4a9f11bf464bb146185d3e63c39eb30,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,"Facultad De Enfermeria, Fisioterapia Y Podologia",https://www.wikidata.org/wiki/Q18613735,28029101,2501381,Grado En Fisioterapia,Ciencias De La Salud,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.81,49.26,98.75,136.44,,,240,240
UCM-524808817ebfbe9a32dfe9cf931d79e8,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,"Facultad De Enfermeria, Fisioterapia Y Podologia",https://www.wikidata.org/wiki/Q18613735,28029101,2501453,Grado En Podologia,Ciencias De La Salud,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.81,49.26,98.75,136.44,,,240,240
UCM-e2ce9077209335d73755ac3514cb635d,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Informatica,,28042899,2501383,Grado En Ingenieria De Computadores,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,25.18,46.41,92.86,128.57,,,240,378
UCM-90b6941b5b845790049d876cd7bea525,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Informatica,,28042899,2501384,Grado En Ingenieria Informatica,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,2,"Existen Planes Separados, Uno De Ellos En Ingles",25.18,46.41,92.86,128.57,,,240,432
UCM-f0e27d063e63a9253df8b76fd2970d0f,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Informatica,,28042899,2501385,Grado En Ingenieria Del Software,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,25.18,46.41,92.86,128.57,,,240,378
UCM-264538a8636b290bcc1aedb8e69d26a5,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Derecho,,28027001,2500828,Grado En Derecho,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,350
UCM-7d56076b4e1febcc704865e75137e5f0,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Ciencias Quimicas,,28027837,2501452,Grado En Bioquimica,Ciencias,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.81,49.26,98.75,136.44,,,240,276
