"IMPORTANTE","cod_universidad","des_universidad","curso_academico","cod_campus","des_campus","cod_centro","des_centro","cod_naturaleza_centro","des_naturaleza_centro","cod_tipo_estudio","des_tipo_estudio","cod_titulacion","des_titulacion","cod_comunidad_centro_sec","des_comunidad_centro_sec","cod_provincia_centro_sec","des_provincia_centro_sec","cod_municipio_centro_sec","des_municipio_centro_sec","lat_municipio_centro_sec","lon_municipio_centro_sec","cod_naturaleza_centro_sec","des_naturaleza_centro_sec","nota_admision","cod_pais_fin_estudio_acceso","des_pais_fin_estudio_acceso","lat_pais_fin_estudio_acceso","lon_pais_fin_estudio_acceso","cod_continente_fin_estudio_acceso","des_continente_fin_estudio_acceso","cod_agregacion_paises_fin_estudio_acceso","des_agregacion_paises_fin_estudio_acceso","cod_estudio_acceso","des_estudio_acceso","cod_especialidad_acceso","des_especialidad_acceso","des_tipo_especialidad_acceso","cod_ocupacion_estudiante","des_ocupacion_estudiante","anio_fin_estudio_acceso","cod_forma_admision","des_forma_admision","ind_accede_al_SUE_por_1a_vez","anio_acceso_SUE","ind_se_matricula_en_primero","ind_curso_adaptacion","anio_nacimiento","cod_pais_nacionalidad","des_pais_nacionalidad","lat_pais_nacionalidad","lon_pais_nacionalidad","cod_continente_nacionalidad","des_continente_nacionalidad","cod_agregacion_paises_nacionalidad","des_agregacion_paises_nacionalidad","cod_pais_residencia","des_pais_residencia","lat_pais_residencia","lon_pais_residencia","cod_continente_residencia","des_continente_residencia","cod_agregacion_paises_residencia","des_agregacion_paises_residencia","cod_dedicacion","des_dedicacion","cod_genero","des_genero","cod_familia_numerosa","des_familia_numerosa","cod_nivel_estudios_madre","des_nivel_estudios_madre","cod_ocupacion_madre","des_ocupacion_madre","cod_nivel_estudios_padre","des_nivel_estudios_padre","cod_ocupacion_padre","des_ocupacion_padre"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS",,,,,,,,,"3","Centro Privado Concertado","5","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,,,,,,"2015","03","Mediante posesión de los títulos de Técnica/o Superior correspondientes a las enseñanzas de Formación Profesional y Enseñanzas Artísticas o de Técnica/o Deportiva/o Superior correspondientes a las enseñanzas Deportivas o títulos equivalentes","SÍ","2019","NO","SÍ","2000","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","5","Estudios Superiores","11","Jubilado","5","Estudios Superiores","07","Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los operadores de instalaciones y maquinaria"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","1","Andalucía","21","Huelva","21041","HUELVA","37.2571","-6.949555","1","Centro Público","7,59","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","08",,"0703","Humanidades y Ciencias Sociales","Bachillerato LOMCE",,,"2018","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","SÍ","SÍ","2001","170","Colombia","4.570868","-74.297333","019","Américas","419","América Latina y el Caribe","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No",,,"01","Directores y gerentes","4","Estudios Secundarios","06","Trabajadores cualificados en la agricultura y en la pesca"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","1","Andalucía","21","Huelva","21044","LEPE","37.25432","-7.203348","1","Centro Público","10,169","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","01","Bachillerato LOE","0103","Humanidades y ciencias sociales","Bachillerato LOE",,,"2018","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","NO","SÍ","1999","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","2","Sin Estudios","05","Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios","5","Estudios Superiores","01","Directores y gerentes"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","1","Andalucía","21","Huelva","21049","MINAS DE RIOTINTO","37.69391","-6.591848","1","Centro Público","9,967","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","02","Bachillerato LOGSE","0103","Humanidades y ciencias sociales","Bachillerato LOE",,,"2019","03","Mediante posesión de los títulos de Técnica/o Superior correspondientes a las enseñanzas de Formación Profesional y Enseñanzas Artísticas o de Técnica/o Deportiva/o Superior correspondientes a las enseñanzas Deportivas o títulos equivalentes","NO","2014","NO","NO","1998","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No",,,,,"4","Estudios Secundarios","01","Directores y gerentes"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","1","Andalucía","21","Huelva","21044","LEPE","37.25432","-7.203348","1","Centro Público","7,304","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","08",,"0703","Humanidades y Ciencias Sociales","Bachillerato LOMCE",,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","SÍ","SÍ","2001","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","2","Familia numerosa general","3","Estudios Primarios",,,"4","Estudios Secundarios","08","Operadores de instalaciones y maquinaria y montadores"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","1","Andalucía","21","Huelva","21041","HUELVA","37.2571","-6.949555","1","Centro Público","11,792","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","02","Bachillerato LOGSE","0103","Humanidades y ciencias sociales","Bachillerato LOE",,,"2019","02","Estudiantes procedentes de sistemas miembros de la Unión Europea o de otros Estados con los que España haya suscrito Acuerdos Internacionales a este respecto que cumplan los requisitos exigidos en su respectivo país para el acceso a la universidad. ","SÍ","2019","SÍ","SÍ","2000","642","Rumania","45.943161","24.96676","150","Europa","151","Europa oriental","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","5","Estudios Superiores","01","Directores y gerentes","4","Estudios Secundarios","08","Operadores de instalaciones y maquinaria y montadores"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","11","Extremadura","6","Badajoz","06083","MÉRIDA","38.91586","-6.345606","1","Centro Público","8,656","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,,,,,,"2016","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","NO","SÍ","1999","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","3","Estudios Primarios","11","Jubilado","3","Estudios Primarios","05","Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","1","Andalucía","21","Huelva","21070","TRIGUEROS","37.38319","-6.833752","1","Centro Público","6,117","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","01","Bachillerato LOE","0103","Humanidades y ciencias sociales","Bachillerato LOE",,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","NO","2016","SÍ","NO","2001","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","3","Estudios Primarios","11","Jubilado","3","Estudios Primarios","05","Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","1","Andalucía","21","Huelva","21041","HUELVA","37.2571","-6.949555","1","Centro Público","11,106","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","08",,"0703","Humanidades y Ciencias Sociales","Bachillerato LOMCE",,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","NO","SÍ","2000","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","3","Estudios Primarios","05","Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios","3","Estudios Primarios","05","Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","1","Andalucía","21","Huelva","21044","LEPE","37.25432","-7.203348","1","Centro Público","6,975","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","01","Bachillerato LOE","0103","Humanidades y ciencias sociales","Bachillerato LOE",,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","NO","SÍ","2000","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","5","Estudios Superiores","02","Técnicos y profesionales científicos e intelectuales","2","Sin Estudios","11","Jubilado"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","1","Andalucía","21","Huelva","21041","HUELVA","37.2571","-6.949555","3","Centro Privado Concertado","8,032","226","Guinea Ecuatorial","1.650801","10.267895","002","África","202","África Subsahariana","04","Técnico /Técnica Superior de Formación Profesional o título equivalente","0421","Sanidad","Formación profesional o título equivalente",,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","NO","2017","SÍ","NO","2001","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","3","Estudios Primarios","10","Parado","3","Estudios Primarios","05","Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","1","Andalucía","21","Huelva","21041","HUELVA","37.2571","-6.949555","1","Centro Público","5,865","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","01","Bachillerato LOE","0103","Humanidades y ciencias sociales","Bachillerato LOE",,,"2018","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","NO","SÍ","2001","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","4","Estudios Secundarios","01","Directores y gerentes","4","Estudios Secundarios","11","Jubilado"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","11","Extremadura","6","Badajoz","06015","BADAJOZ","38.8786","-6.970284","1","Centro Público","9,593","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","01","Bachillerato LOE","0103","Humanidades y ciencias sociales","Bachillerato LOE",,,"2019","07","Estudios procedentes de sistemas educativos extranjeros, previa solicitud de homologación, del título de origen al título español de bachiller","SÍ","2019","NO","SÍ","2001","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","3","Estudios Primarios","11","Jubilado","3","Estudios Primarios","09","Trabajadores no cualificados"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","1","Andalucía","21","Huelva","21042","ISLA CRISTINA","37.19943","-7.325246","1","Centro Público","8,513","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","04","Técnico /Técnica Superior de Formación Profesional o título equivalente","0402","Administración y gestión","Formación profesional o título equivalente",,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","SÍ","SÍ","2001","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No",,,"11","Jubilado","3","Estudios Primarios","11","Jubilado"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","15","Navarra","31","Navarra","31122","HUARTE/UHARTE","42.83154","-1.590709","1","Centro Público","5,67","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","01","Bachillerato LOE","0103","Humanidades y ciencias sociales","Bachillerato LOE",,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","NO","SÍ","1999","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","3","Estudios Primarios","05","Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios","3","Estudios Primarios","03","Técnicos y profesionales de apoyo"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","1","Andalucía","21","Huelva","21055","PALOS DE LA FRONTERA","37.2282","-6.893426","1","Centro Público","11,855","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","08",,"0703","Humanidades y Ciencias Sociales","Bachillerato LOMCE","10","Parado","2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","NO","2018","SÍ","NO","2001","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No",,,"11","Jubilado",,,,
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS",,,,,,,,,"2","Centro Privado",,"724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","01","Bachillerato LOE","0103","Humanidades y ciencias sociales","Bachillerato LOE",,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","SÍ","SÍ","2001","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","3","Estudios Primarios","11","Jubilado",,,"09","Trabajadores no cualificados"
