cod_universidad_origen,des_universidad_origen,URI_universidad_origen,wikidata_universidad_origen,curso_academico,cod_titulacion_origen,des_titulacion_origen,des_genero,id_matricula_b2,des_tipo_programa_mov,des_programa_movilidad,id_matricula_b3,cod_pais_nacionalidad,des_pais_nacionalidad,URI_pais_nacionalidad,wikidata_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,URI_continente_nacionalidad,wikidata_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,URI_agregacion_paises_nacionalidad,wikidata_agregacion_paises_nacionalidad,id_matricula_b4,anio_nacimiento,id_matricula_b5,des_nivel_formativo_origen,id_matricula_b6,cod_universidad_destino,des_universidad_destino,URI_universidad_destino,wikidata_universidad_destino,cod_pais_univ_destino,des_pais_univ_destino,URI_pais_univ_destino,wikidata_pais_univ_destino,lat_pais_univ_destino,lon_pais_univ_destino,cod_continente_univ_destino,des_continente_univ_destino,URI_continente_univ_destino,wikidata_continente_univ_destino,cod_agregacion_paises_univ_destino,des_agregacion_paises_univ_destino,URI_agregacion_paises_univ_destino,wikidata_agregacion_paises_univ_destino,cod_municipio_destino,des_municipio_destino,URI_municipio_destino,wikidata_municipio_destino,lat_municipio_destino,lon_municipio_destino,cod_comunidad_destino,des_comunidad_destino,URI_comunidad_destino,wikidata_comunidad_destino,cod_provincia_destino,des_provincia_destino,URI_provincia_destino,wikidata_provincia_destino,des_ambito_univ_destino,id_matricula_b7,mes_inicio_programa,mes_fin_programa
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2017-18,2500268,Graduado O Graduada En Psicologia Por La Universidad Autonoma De Madrid,Mujer,UAM-5c86376d1e36b6ec752a3b85936b6cef,Estudios Y/o Proyecto Fin De Grado,Erasmus,UAM-5043f004b52ab3ce2b68afe36e446463,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-266e6e464443cdd408881b0ce5e070b6,1997,UAM-e825695f2868096ef003e576a9750e3e,Grado,UAM-0f5c2965244ccfd25c122240c1928442,I Napoli09,Seconda Universita Degli Studi Di Napoli,http://www.semanticweb.org/universidata/resource/universidad/seconda-universita-degli-studi-di-napoli,https://www.wikidata.org/wiki/Q3551649,380,Italia,http://www.semanticweb.org/universidata/resource/pais/italia,https://www.wikidata.org/wiki/Q38,41.87194,12.56738,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,Caserta,http://www.semanticweb.org/universidata/resource/municipio/caserta,https://www.wikidata.org/wiki/Q1906,,,,,,,,,,,,UAM-edad85b9aae24358197a17727d8f30ec,2017-09-01,2018-06-01
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2017-18,2500268,Graduado O Graduada En Psicologia Por La Universidad Autonoma De Madrid,Mujer,UAM-3ddc9944e70ba688d9aba95ddb674d00,Estudios Y/o Proyecto Fin De Grado,Erasmus,UAM-75e61e9f09c3e21f007223536c048ccd,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-73c49cd14158dd58807a85cbd4398402,1996,UAM-cf9f5f94b61839d2a516fd3d4c78c0eb,Grado,UAM-9ef9f51a22def4499ccb14684e236963,777777777777,Otra Universidad Fuera De La Ue,http://www.semanticweb.org/universidata/resource/universidad/otra-universidad-fuera-de-la-ue,,484,Mexico,http://www.semanticweb.org/universidata/resource/pais/mexico,https://www.wikidata.org/wiki/Q96,23.634501,-102.552784,019,Americas,http://www.semanticweb.org/universidata/resource/continente/americas,https://www.wikidata.org/wiki/Q828,419,America Latina Y El Caribe,http://www.semanticweb.org/universidata/resource/agregacion-paises/america-latina-y-el-caribe,https://www.wikidata.org/wiki/Q72829598,,,,,,,,,,,,,,,,UAM-6b29c0efd75ac9032c64f590bf621800,2017-10-01,2018-07-01
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2017-18,2500268,Graduado O Graduada En Psicologia Por La Universidad Autonoma De Madrid,Mujer,UAM-ee6e7bfdfe7048d5163ab7fd23f0eb5f,Estudios Y/o Proyecto Fin De Grado,Erasmus,UAM-e74c03c94d074afb834b55acb12ca73d,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-a4b5f11d74360577aedca6b47f2e006b,1995,UAM-22dfefe3ebfad8750960b8d61b077077,Grado,UAM-da99e8df92af0e1e81277b1015a0c095,020,Universidad Del Pais Vasco,http://www.semanticweb.org/universidata/resource/universidad/universidad-del-pais-vasco,https://www.wikidata.org/wiki/Q1232428,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,48054,Leioa,http://www.semanticweb.org/universidata/resource/municipio/leioa,https://www.wikidata.org/wiki/Q12262088,43.3261,-2.987704,16,Pais Vasco,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/pais-vasco,https://www.wikidata.org/wiki/Q3995,48,Vizcaya,http://www.semanticweb.org/universidata/resource/provincia/vizcaya,https://www.wikidata.org/wiki/Q93366,,UAM-1cfac84cb64335d3502b5a666359bd0f,2018-02-01,2018-06-01
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2017-18,2500268,Graduado O Graduada En Psicologia Por La Universidad Autonoma De Madrid,Mujer,UAM-a1239a382260807eebe1c7ee743da42c,Estudios Y/o Proyecto Fin De Grado,Erasmus,UAM-418e736a06bf29eb224569b1a6043698,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-d559b5a6fc8f536f3950f2314c5a969a,1997,UAM-2d3c898cf1bba4a0ab182d9ee570e42d,Grado,UAM-3956ae5ffa2ce9df66f0c8a06d3756cc,Pl Warszaw37,Szkola Wyzsza Psychologii Spolecznej,http://www.semanticweb.org/universidata/resource/universidad/szkola-wyzsza-psychologii-spolecznej,https://www.wikidata.org/wiki/Q7970913,616,Polonia,http://www.semanticweb.org/universidata/resource/pais/polonia,https://www.wikidata.org/wiki/Q36,51.919438,19.145136,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,151,Europa Oriental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-oriental,https://www.wikidata.org/wiki/Q27468,,Warszawa,http://www.semanticweb.org/universidata/resource/municipio/warszawa,https://www.wikidata.org/wiki/Q270,,,,,,,,,,,,UAM-f81293114102cc54fac64742ead6cd56,2017-09-01,2018-06-01
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2017-18,2500268,Graduado O Graduada En Psicologia Por La Universidad Autonoma De Madrid,Mujer,UAM-f9f33b70a3ff943fb5a581c9586d173f,Estudios Y/o Proyecto Fin De Grado,Otras Fuera De La Ue,UAM-f5f0f540e219ada435ca19d189f18a79,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-62b6af95cae9119771ef3a4b7f68ae23,1997,UAM-c64d2e9d20224e1b89d5db943339f96b,Grado,UAM-1a0720d6cf688834c44ed57448c83385,N Bergen01,Universitetet I Bergen,http://www.semanticweb.org/universidata/resource/universidad/universitetet-i-bergen,https://www.wikidata.org/wiki/Q204457,578,Noruega,http://www.semanticweb.org/universidata/resource/pais/noruega,https://www.wikidata.org/wiki/Q20,60.472024,8.468946,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,154,Europa Septentrional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-septentrional,https://www.wikidata.org/wiki/Q27479,,Bergen,http://www.semanticweb.org/universidata/resource/municipio/bergen,https://www.wikidata.org/wiki/Q26793,,,,,,,,,,,,UAM-ff46715a35ad146689e7c179be2e1b04,2017-09-01,2017-12-01
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2017-18,2500268,Graduado O Graduada En Psicologia Por La Universidad Autonoma De Madrid,Mujer,UAM-58355601562cbe9a1c939ac1b710f766,Estudios Y/o Proyecto Fin De Grado,Otras Fuera De La Ue,UAM-1e5c2238597b0232a7375bfdbfee61df,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-8707ad94b06c5371a87b79dcaf067958,1997,UAM-d9610bfbf485a059611fb99577b1ae19,Grado,UAM-cb19d10b537d8b7eacf1d20699c63423,I Padova01,Universita  Degli Studi Di Padova,http://www.semanticweb.org/universidata/resource/universidad/universita-degli-studi-di-padova,https://www.wikidata.org/wiki/Q193510,380,Italia,http://www.semanticweb.org/universidata/resource/pais/italia,https://www.wikidata.org/wiki/Q38,41.87194,12.56738,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,Padova,http://www.semanticweb.org/universidata/resource/municipio/padova,https://www.wikidata.org/wiki/Q617,,,,,,,,,,,,UAM-07670f0f109224015bc4702d02e9cb20,2017-09-01,2018-02-01
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2017-18,2500268,Graduado O Graduada En Psicologia Por La Universidad Autonoma De Madrid,Mujer,UAM-a5258144365e52263a59da437c275542,Estudios Y/o Proyecto Fin De Grado,Erasmus,UAM-d27ed61d155a81840e3c179c006e0a1c,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-a89c0cce0abcab2a83e23a9af26b9168,1997,UAM-0aea824a6bb9c4ac45e3a7a5951bb672,Grado,UAM-921e8a1f74bafb49c85f5142ea0d9f6e,I Firenze01,Universita  Degli Studi Di Firenze,http://www.semanticweb.org/universidata/resource/universidad/universita-degli-studi-di-firenze,https://www.wikidata.org/wiki/Q820887,380,Italia,http://www.semanticweb.org/universidata/resource/pais/italia,https://www.wikidata.org/wiki/Q38,41.87194,12.56738,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,Firenze,http://www.semanticweb.org/universidata/resource/municipio/firenze,https://www.wikidata.org/wiki/Q2044,,,,,,,,,,,,UAM-03e447689a044e88d6602d31c74c7a04,2017-09-01,2017-12-01
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2017-18,2500268,Graduado O Graduada En Psicologia Por La Universidad Autonoma De Madrid,Mujer,UAM-488336c69b4332c40c1254a449d7091d,Estudios Y/o Proyecto Fin De Grado,Erasmus,UAM-3ac36b2ce0330d3c5e46701504a84d53,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-32bdfeb0d0ab4bb632b0cdbf8a4d9ccc,1997,UAM-64eb1748aba492e5b0107c1e56a192a4,Grado,UAM-a1b8cac1eba8947035cd9d20aa774fdd,I Trieste01,Universita  Degli Studi Di Trieste,http://www.semanticweb.org/universidata/resource/universidad/universita-degli-studi-di-trieste,https://www.wikidata.org/wiki/Q1751060,380,Italia,http://www.semanticweb.org/universidata/resource/pais/italia,https://www.wikidata.org/wiki/Q38,41.87194,12.56738,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,Trieste,http://www.semanticweb.org/universidata/resource/municipio/trieste,https://www.wikidata.org/wiki/Q546,,,,,,,,,,,,UAM-1f8479d151b0aae9023eccf6f36262c7,2017-09-01,2018-01-01
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2017-18,2500268,Graduado O Graduada En Psicologia Por La Universidad Autonoma De Madrid,Mujer,UAM-b8385a037bf35a608210afa8a7873b19,Estudios Y/o Proyecto Fin De Grado,Erasmus,UAM-7140bcb1a288b20a4cbb5d6b6362819f,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-b9c4c23950fcb466cbfcb048afe0e842,1996,UAM-157ef615de727bd3a8a8ffb57df394b3,Grado,UAM-f60297fbfeb317656384459000a4b3ef,777777777777,Otra Universidad Fuera De La Ue,http://www.semanticweb.org/universidata/resource/universidad/otra-universidad-fuera-de-la-ue,,032,Argentina,http://www.semanticweb.org/universidata/resource/pais/argentina,https://www.wikidata.org/wiki/Q414,-38.416097,-63.616672,019,Americas,http://www.semanticweb.org/universidata/resource/continente/americas,https://www.wikidata.org/wiki/Q828,419,America Latina Y El Caribe,http://www.semanticweb.org/universidata/resource/agregacion-paises/america-latina-y-el-caribe,https://www.wikidata.org/wiki/Q72829598,,,,,,,,,,,,,,,,UAM-6fceef5b1f43783ed2faf51f24bbd0d7,2017-08-01,2018-01-01
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2017-18,2500268,Graduado O Graduada En Psicologia Por La Universidad Autonoma De Madrid,Mujer,UAM-96a84efb5a53470ffa30b3bcde5d812c,Estudios Y/o Proyecto Fin De Grado,Erasmus,UAM-9b747646ab2be965fa01ed8c45677209,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-a40e84e384bd2066a16aadf1a543f0d7,1997,UAM-a14cb56e44cd4daf728485fd2a181e6b,Grado,UAM-cbefc96dea551c1ba5fb63796b2b3d8c,Nl Utrecht01,Universiteit Utrecht,http://www.semanticweb.org/universidata/resource/universidad/universiteit-utrecht,https://www.wikidata.org/wiki/Q221653,528,Paises Bajos,http://www.semanticweb.org/universidata/resource/pais/paises-bajos,https://www.wikidata.org/wiki/Q29999,52.132633,5.291266,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,,Utrecht,http://www.semanticweb.org/universidata/resource/municipio/utrecht,https://www.wikidata.org/wiki/Q39297398,,,,,,,,,,,,UAM-13f816722ca50f6fbc1a3e27e30437c3,2018-01-01,2018-06-01
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2017-18,2500268,Graduado O Graduada En Psicologia Por La Universidad Autonoma De Madrid,Mujer,UAM-c6e6d0ddac141e563fbdae32240d17a1,Estudios Y/o Proyecto Fin De Grado,Erasmus,UAM-63c9e210158e0128e64495b305f3eb6c,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-9c256a1ef18514dd46ace02a8755cdc5,1997,UAM-fc7c97f69be1f2f3c8173eee9bd9f008,Grado,UAM-e86a11dfc1e5f85aa91e23860e24c976,030,Universidad De Deusto,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-deusto,https://www.wikidata.org/wiki/Q1468481,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,48020,Bilbao,http://www.semanticweb.org/universidata/resource/municipio/bilbao,https://www.wikidata.org/wiki/Q8692,43.25696,-2.923441,16,Pais Vasco,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/pais-vasco,https://www.wikidata.org/wiki/Q3995,48,Vizcaya,http://www.semanticweb.org/universidata/resource/provincia/vizcaya,https://www.wikidata.org/wiki/Q93366,,UAM-5b360c4b912272f56a008777afb09c01,2017-09-01,2018-06-01
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2017-18,2500268,Graduado O Graduada En Psicologia Por La Universidad Autonoma De Madrid,Mujer,UAM-6edf3cdfe6e7e9786f4f13383ff2fb58,Estudios Y/o Proyecto Fin De Grado,Erasmus,UAM-515af11b0ca9051890d88dbdb94268f2,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-33f124a38a1078f417fe16d390cfebb2,1997,UAM-27ef228a109b4f20ddbfe54794fabda2,Grado,UAM-fd2c37471d0205940952d232be0c9b39,777777777777,Otra Universidad Fuera De La Ue,http://www.semanticweb.org/universidata/resource/universidad/otra-universidad-fuera-de-la-ue,,036,Australia,http://www.semanticweb.org/universidata/resource/pais/australia,https://www.wikidata.org/wiki/Q408,-25.274398,133.775136,009,Oceania,http://www.semanticweb.org/universidata/resource/continente/oceania,https://www.wikidata.org/wiki/Q55643,053,Australia Y Nueva Zelandia,http://www.semanticweb.org/universidata/resource/agregacion-paises/australia-y-nueva-zelandia,,,,,,,,,,,,,,,,,UAM-de75db06c80c0a9b7287406bddc7dc52,2017-09-01,2018-06-01
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2017-18,2500268,Graduado O Graduada En Psicologia Por La Universidad Autonoma De Madrid,Mujer,UAM-4d5ff19f226fc618d5393d9d26bc0f4a,Estudios Y/o Proyecto Fin De Grado,Sicue-seneca,UAM-fb49f4cc8b25fe000c2b5202f4becf55,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-7f6248a4a4d20ae61e0c204b3e06a0ae,1997,UAM-789324fd76d344a6962841a245814cd2,Grado,UAM-3966dac48301f554aeb8514b810acc29,F Montpel03,Universite Paul Valery montpellier Iii,http://www.semanticweb.org/universidata/resource/universidad/universite-paul-valery-montpellier-iii,https://www.wikidata.org/wiki/Q2912244,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,,Montpellier Cedex 5,http://www.semanticweb.org/universidata/resource/municipio/montpellier-cedex-5,,,,,,,,,,,,,UAM-e89f6506cb089d8d0e4b844eb2409781,2017-09-01,2018-02-01
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2017-18,2500268,Graduado O Graduada En Psicologia Por La Universidad Autonoma De Madrid,Mujer,UAM-a8f233296aa1b7f5f766e9607f53e2bc,Estudios Y/o Proyecto Fin De Grado,Erasmus,UAM-375c1fea7b479e0c0e84cccd13caed59,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-a594ba78c98d57048a427d3cf7374a84,1996,UAM-98249a6f4e3921b22b4bbdda7bd85845,Grado,UAM-c35dfd28c6ce3bab4e38db1558633f7e,I Firenze01,Universita  Degli Studi Di Firenze,http://www.semanticweb.org/universidata/resource/universidad/universita-degli-studi-di-firenze,https://www.wikidata.org/wiki/Q820887,380,Italia,http://www.semanticweb.org/universidata/resource/pais/italia,https://www.wikidata.org/wiki/Q38,41.87194,12.56738,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,Firenze,http://www.semanticweb.org/universidata/resource/municipio/firenze,https://www.wikidata.org/wiki/Q2044,,,,,,,,,,,,UAM-b1411f61101129efde58e28d36f32ccf,2017-09-01,2018-06-01
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2017-18,2500268,Graduado O Graduada En Psicologia Por La Universidad Autonoma De Madrid,Mujer,UAM-18435913d458823b251d723dabc61e40,Estudios Y/o Proyecto Fin De Grado,Erasmus,UAM-9e817fe21602bf5334fc0c3b7be290ca,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-03eabdcc53e669b67a54ad5eab178c1a,1997,UAM-a7c62aa4ae25e38fd8447190ab1057d2,Grado,UAM-4734551057017888c301d4bf9429d918,Nl Ensched01,Universiteit Twente,http://www.semanticweb.org/universidata/resource/universidad/universiteit-twente,https://www.wikidata.org/wiki/Q1547084,528,Paises Bajos,http://www.semanticweb.org/universidata/resource/pais/paises-bajos,https://www.wikidata.org/wiki/Q29999,52.132633,5.291266,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,,Enschede,http://www.semanticweb.org/universidata/resource/municipio/enschede,https://www.wikidata.org/wiki/Q33435365,,,,,,,,,,,,UAM-f134ee548992fe471bd4c581e1045ead,2017-09-01,2018-06-01
023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,2017-18,2500268,Graduado O Graduada En Psicologia Por La Universidad Autonoma De Madrid,Mujer,UAM-fe475700e4ebc886e65464aded001b4e,Estudios Y/o Proyecto Fin De Grado,Erasmus,UAM-80293dcfd4bff99ba7fb8dd4744b5569,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UAM-bdd74ba858ba9db18063e41f925ecee0,1996,UAM-12b3b309460538ad39fcafe32aa8449a,Grado,UAM-1bb6f432fd69b0d2df3b16e64632eb24,777777777777,Otra Universidad Fuera De La Ue,http://www.semanticweb.org/universidata/resource/universidad/otra-universidad-fuera-de-la-ue,,604,Peru,http://www.semanticweb.org/universidata/resource/pais/peru,https://www.wikidata.org/wiki/Q419,-9.189967,-75.015152,019,Americas,http://www.semanticweb.org/universidata/resource/continente/americas,https://www.wikidata.org/wiki/Q828,419,America Latina Y El Caribe,http://www.semanticweb.org/universidata/resource/agregacion-paises/america-latina-y-el-caribe,https://www.wikidata.org/wiki/Q72829598,,,,,,,,,,,,,,,,UAM-7a7f0b155bc031bd00afe3cd7c77026d,2017-08-01,2018-01-01
