cod_universidad_origen,des_universidad_origen,URI_universidad_origen,wikidata_universidad_origen,curso_academico,cod_titulacion_origen,des_titulacion_origen,des_genero,id_matricula_b2,des_tipo_programa_mov,des_programa_movilidad,id_matricula_b3,cod_pais_nacionalidad,des_pais_nacionalidad,URI_pais_nacionalidad,wikidata_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,URI_continente_nacionalidad,wikidata_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,URI_agregacion_paises_nacionalidad,wikidata_agregacion_paises_nacionalidad,id_matricula_b4,anio_nacimiento,id_matricula_b5,des_nivel_formativo_origen,id_matricula_b6,cod_universidad_destino,des_universidad_destino,URI_universidad_destino,wikidata_universidad_destino,cod_pais_univ_destino,des_pais_univ_destino,URI_pais_univ_destino,wikidata_pais_univ_destino,lat_pais_univ_destino,lon_pais_univ_destino,cod_continente_univ_destino,des_continente_univ_destino,URI_continente_univ_destino,wikidata_continente_univ_destino,cod_agregacion_paises_univ_destino,des_agregacion_paises_univ_destino,URI_agregacion_paises_univ_destino,wikidata_agregacion_paises_univ_destino,cod_municipio_destino,des_municipio_destino,URI_municipio_destino,wikidata_municipio_destino,lat_municipio_destino,lon_municipio_destino,cod_comunidad_destino,des_comunidad_destino,URI_comunidad_destino,wikidata_comunidad_destino,cod_provincia_destino,des_provincia_destino,URI_provincia_destino,wikidata_provincia_destino,des_ambito_univ_destino,id_matricula_b7,mes_inicio_programa,mes_fin_programa
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2019-20,7000030,Doble Grado Derecho - Administracion Y Direccion De Empresas,Mujer,UCM-dbff64c03fc778aed9913469b6b8595b,,Sicue-seneca,UCM-273516c4c3997ec0624f0c531ff0bc30,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-d739bf8b7641ceb4850db03b3466f71d,1999,UCM-3b6ded9ba8c81255ebeb5c9638b90196,Grado,UCM-1c2d35480cc69af7ea0198a050806269,F Paris009,Universite De Paris-dauphine,http://www.semanticweb.org/universidata/resource/universidad/universite-de-paris-dauphine,https://www.wikidata.org/wiki/Q1546437,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,,Paris,http://www.semanticweb.org/universidata/resource/municipio/paris,https://www.wikidata.org/wiki/Q79917,,,,,,,,,,,,UCM-54d25860eccea515f9959775dbfe8bdc,2019-09-01,2020-12-01
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2019-20,7000030,Doble Grado Derecho - Administracion Y Direccion De Empresas,Mujer,UCM-ec998f076a3c56b88adaa4271f3dda2d,,Erasmus,UCM-8f5b07c2b7abe76fa77ba61a2b779f42,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-6b2f352654cf807ac74f16d9332989fb,1999,UCM-8bb6c2ffa1248f4a1b692631fd84ad00,Grado,UCM-6de0894e739e81fac3693b31c5ae0a7d,,,,,156,China,http://www.semanticweb.org/universidata/resource/pais/china,https://www.wikidata.org/wiki/Q148,35.86166,104.195397,142,Asia,http://www.semanticweb.org/universidata/resource/continente/asia,https://www.wikidata.org/wiki/Q48,030,Asia Oriental,http://www.semanticweb.org/universidata/resource/agregacion-paises/asia-oriental,https://www.wikidata.org/wiki/Q27231,,,,,,,,,,,,,,,,UCM-8db9dc54e1eb244637179537d75307a5,2019-09-01,2020-05-01
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2019-20,7000030,Doble Grado Derecho - Administracion Y Direccion De Empresas,Mujer,UCM-0b1c0215a6a0fbca257ceb5c2946a2b5,,Erasmus,UCM-c9c8b91776f8c646842d5133a1658cca,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-6984b24b4a166582059ad56fc8ab25db,1999,UCM-57f3179a318aa4c75ecf54478abdda23,Grado,UCM-3d2a825578b391382fc437246da61767,,,,,840,Estados Unidos De America,http://www.semanticweb.org/universidata/resource/pais/estados-unidos-de-america,https://www.wikidata.org/wiki/Q30,37.09024,-95.712891,019,Americas,http://www.semanticweb.org/universidata/resource/continente/americas,https://www.wikidata.org/wiki/Q828,021,America Septentrional,http://www.semanticweb.org/universidata/resource/agregacion-paises/america-septentrional,https://www.wikidata.org/wiki/Q2017699,,,,,,,,,,,,,,,,UCM-f2601b30320c70a47edcc08ff28cfb6e,2019-09-01,2020-06-01
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2019-20,7000030,Doble Grado Derecho - Administracion Y Direccion De Empresas,Mujer,UCM-545eb5df0e408eb238003903da3ba5ce,,Erasmus,UCM-2fff7ed0cb09ef7d33d9b7f4be2b9d3f,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-e94d45a50f69b9c44816f12429153a33,1997,UCM-fd52fdaae49b468c94cfd5822ef521f8,Grado,UCM-6615e3b1faffbdf7aa0197a0549fe54c,,,,,756,Suiza,http://www.semanticweb.org/universidata/resource/pais/suiza,https://www.wikidata.org/wiki/Q39,46.818188,8.227512,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,,,,,,,,,,,,,,,,UCM-5f1622dcaf3a3a1d5f8c2122b325370c,2019-09-01,2020-08-01
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2019-20,7000030,Doble Grado Derecho - Administracion Y Direccion De Empresas,Mujer,UCM-b8580f84aa06fa472d625a042237de5e,,Erasmus,UCM-9189861db7d6c7d8211aebbb11dca494,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-4c6c5841d26d938f5fc0c32d5189bea8,1998,UCM-ac4c69e2da6ce00286392ad55a490ca0,Grado,UCM-fb1ce0cb86d0fc51e30308af25b71580,A Wien38,Fachhochschule Des Bfi Wien Gesellschaft M.B.H.,http://www.semanticweb.org/universidata/resource/universidad/fachhochschule-des-bfi-wien-gesellschaft-m.b.h.,,040,Austria,http://www.semanticweb.org/universidata/resource/pais/austria,https://www.wikidata.org/wiki/Q40,47.516231,14.550072,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,,Wien,http://www.semanticweb.org/universidata/resource/municipio/wien,https://www.wikidata.org/wiki/Q1741,,,,,,,,,,,,UCM-c470bc0f2956aaef62ed803039910d14,2019-09-01,2020-02-01
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2019-20,7000030,Doble Grado Derecho - Administracion Y Direccion De Empresas,Mujer,UCM-565ae64bd8fb7ae36e3b1ce37b8a474a,,Erasmus,UCM-490fbf4ad7aaec0e107d29b0df4d4dbf,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-9bdeaada2def6ea7c7884d0d4e9da29f,1998,UCM-e97e72d2c6bef69af5799b9efb7e52be,Grado,UCM-3ee462b20189d5eb4e8c5c0208e8f9f2,,,,,156,China,http://www.semanticweb.org/universidata/resource/pais/china,https://www.wikidata.org/wiki/Q148,35.86166,104.195397,142,Asia,http://www.semanticweb.org/universidata/resource/continente/asia,https://www.wikidata.org/wiki/Q48,030,Asia Oriental,http://www.semanticweb.org/universidata/resource/agregacion-paises/asia-oriental,https://www.wikidata.org/wiki/Q27231,,,,,,,,,,,,,,,,UCM-aaaf65eaec955bff2c8c2648d72ac125,2019-09-01,2020-03-01
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2019-20,7000030,Doble Grado Derecho - Administracion Y Direccion De Empresas,Mujer,UCM-c677f470a4380bb51846d17dd6ffa0ee,,Erasmus,UCM-0640c91a147614a5237dcfbfd8f66a93,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-afae58a158cd88378b2f6cd616c8dafe,1999,UCM-677bf855772d3cc99bdfa3f775e5014b,Grado,UCM-697e61c3169ae1ff31b7cddc8cacb74a,D Munster01,Westfaelische Wilhelms-universitaet Muenster,http://www.semanticweb.org/universidata/resource/universidad/westfaelische-wilhelms-universitaet-muenster,,276,Alemania,http://www.semanticweb.org/universidata/resource/pais/alemania,https://www.wikidata.org/wiki/Q183,51.165691,10.451526,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,,Muenster,http://www.semanticweb.org/universidata/resource/municipio/muenster,https://www.wikidata.org/wiki/Q2742,,,,,,,,,,,,UCM-b4cc78803f783a34c33a172037e9449b,2019-09-01,2020-03-01
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2019-20,7000030,Doble Grado Derecho - Administracion Y Direccion De Empresas,Mujer,UCM-da2428d08d67fdc34ab00d03124581bd,,Sicue-seneca,UCM-ddec0d46cc386a6e253f4b045ff67856,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-4fc2a3ba52e8bbe2dc83fb7a30bf9e9d,1997,UCM-2899683476d5e02e820d0595e74a05b9,Grado,UCM-c2c9d382b94bc8f9965928a6047c1de0,F Paris213,Ecole Superieure Du Commerce Exterieur,http://www.semanticweb.org/universidata/resource/universidad/ecole-superieure-du-commerce-exterieur,,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,,Paris La Defense Cedex,http://www.semanticweb.org/universidata/resource/municipio/paris-la-defense-cedex,,,,,,,,,,,,,UCM-27d7a54fd549a671a67af75aff120138,2019-09-01,2020-07-01
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2019-20,7000030,Doble Grado Derecho - Administracion Y Direccion De Empresas,Mujer,UCM-d97d9fc9e2f052d8183dfd71448dd175,,Erasmus,UCM-7808a586746ed8240b66087ebbb8ce1e,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-fce964f330c83f1b041b3bcc765be87f,1999,UCM-8dbf4fc3f7314ec30a07014fc9d11011,Grado,UCM-81906cd0db3323db762fee162b862c14,,,,,124,Canada,http://www.semanticweb.org/universidata/resource/pais/canada,https://www.wikidata.org/wiki/Q16,56.130366,-106.346771,019,Americas,http://www.semanticweb.org/universidata/resource/continente/americas,https://www.wikidata.org/wiki/Q828,021,America Septentrional,http://www.semanticweb.org/universidata/resource/agregacion-paises/america-septentrional,https://www.wikidata.org/wiki/Q2017699,,,,,,,,,,,,,,,,UCM-5f5ebba273d5ab1d0087380ceb254284,2019-09-01,2020-02-01
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2019-20,7000030,Doble Grado Derecho - Administracion Y Direccion De Empresas,Mujer,UCM-ef5b79b6578a5683b04cb764e194f115,,Erasmus,UCM-35239f49a28b568d4f50228b55481327,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-8e80282093079ec062ad4f8bbf625d19,1998,UCM-6aec63ff28e4532e1162dedd5347e8cd,Grado,UCM-62d7c83dad53e22879fa572c2f18a4f3,,,,,840,Estados Unidos De America,http://www.semanticweb.org/universidata/resource/pais/estados-unidos-de-america,https://www.wikidata.org/wiki/Q30,37.09024,-95.712891,019,Americas,http://www.semanticweb.org/universidata/resource/continente/americas,https://www.wikidata.org/wiki/Q828,021,America Septentrional,http://www.semanticweb.org/universidata/resource/agregacion-paises/america-septentrional,https://www.wikidata.org/wiki/Q2017699,,,,,,,,,,,,,,,,UCM-0b0ea0ba8dca713ff22055caf6adfcf1,2019-09-01,2020-09-01
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2019-20,7000030,Doble Grado Derecho - Administracion Y Direccion De Empresas,Mujer,UCM-b035062d4e031a49e3414d7521a03554,,Erasmus,UCM-e032173c18ecb46ff44a57494af257fc,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-9d6dc706cfb14c06726d179bea40051e,1997,UCM-64c6bc0b5c8b3d0b119f37d65fa5a2e6,Grado,UCM-16e3c80257529aae7198a42c941afa95,F Angers10,Groupe Essca ecole Superieure Des Sciences Commerciales D angers,http://www.semanticweb.org/universidata/resource/universidad/groupe-essca-ecole-superieure-des-sciences-commerciales-d-angers,,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,,Angers Cedex 01,http://www.semanticweb.org/universidata/resource/municipio/angers-cedex-01,,,,,,,,,,,,,UCM-aeca7fe3d79eebb986f13df8f296b4b5,2019-09-01,2020-01-01
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2019-20,7000030,Doble Grado Derecho - Administracion Y Direccion De Empresas,Mujer,UCM-d03e3e22d2b0665f5a5f13269fa62d31,,Erasmus,UCM-15e25efcc9b7ac366f514e81d6d3a359,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-25cd47c89d2e88bac40f835665fc2af7,1999,UCM-babca022d6ca367d3a17583ba79f84b4,Grado,UCM-5991750325d878ac520cd39620e1588f,Pl Warszaw03,Szkola Glowna Handlowa W Warszawie,http://www.semanticweb.org/universidata/resource/universidad/szkola-glowna-handlowa-w-warszawie,https://www.wikidata.org/wiki/Q1394594,616,Polonia,http://www.semanticweb.org/universidata/resource/pais/polonia,https://www.wikidata.org/wiki/Q36,51.919438,19.145136,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,151,Europa Oriental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-oriental,https://www.wikidata.org/wiki/Q27468,,Warszawa,http://www.semanticweb.org/universidata/resource/municipio/warszawa,https://www.wikidata.org/wiki/Q270,,,,,,,,,,,,UCM-322bf3cbd7a7a7d2bf3b4bfd74f55ad9,2019-09-01,2020-03-01
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2019-20,7000030,Doble Grado Derecho - Administracion Y Direccion De Empresas,Mujer,UCM-fdb11852de289f60a0a48970597bcf41,,Erasmus,UCM-f60a7295c236aad1416ff83edf218ba6,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-05c137c3716e4b84bd37c2944f70625b,1998,UCM-17aad88ac28d57a11cb70bb587199ad5,Grado,UCM-c94cc20d1a5eeb8bf74e95b6daefbea1,,,,,702,Singapur,http://www.semanticweb.org/universidata/resource/pais/singapur,https://www.wikidata.org/wiki/Q334,1.352083,103.819836,142,Asia,http://www.semanticweb.org/universidata/resource/continente/asia,https://www.wikidata.org/wiki/Q48,035,Asia Sudoriental,http://www.semanticweb.org/universidata/resource/agregacion-paises/asia-sudoriental,https://www.wikidata.org/wiki/Q11708,,,,,,,,,,,,,,,,UCM-46afdcde343f2eabec935a3a03bb6cfb,2019-09-01,2020-03-01
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2019-20,7000030,Doble Grado Derecho - Administracion Y Direccion De Empresas,Mujer,UCM-d726b09a6d5262f1d97f4f52893e09bb,,Erasmus,UCM-cb47c3f94e589ed5716cd5cc270c8760,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-20af46948f8fac387a8e900fe600edce,1999,UCM-83e68fda41615ad06865bef450eed918,Grado,UCM-9bdc9a9130c80d5e7dd95e9dc015fa9b,008,Universidad De Granada,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-granada,https://www.wikidata.org/wiki/Q1232180,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,18087,Granada,http://www.semanticweb.org/universidata/resource/municipio/granada,https://www.wikidata.org/wiki/Q8810,37.17649,-3.597929,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,18,Granada,http://www.semanticweb.org/universidata/resource/provincia/granada,https://www.wikidata.org/wiki/Q82142,,UCM-93b40a7ddbdbf195cde5e700337bd262,2019-09-01,2020-03-01
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2019-20,7000030,Doble Grado Derecho - Administracion Y Direccion De Empresas,Mujer,UCM-c2dc55d415cf380461c01bd73568079b,,Erasmus,UCM-b2abd73d0fcdf88fa8d798cb8eacec91,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-e038549940ce7c2096a58f0c114b3582,1999,UCM-a5c50f99ce8869c98a5c0942722d0367,Grado,UCM-2e2d74b4dd98c8e2370a8149675da542,D Munchen12,Munich Business School,http://www.semanticweb.org/universidata/resource/universidad/munich-business-school,,276,Alemania,http://www.semanticweb.org/universidata/resource/pais/alemania,https://www.wikidata.org/wiki/Q183,51.165691,10.451526,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,,Muenchen,http://www.semanticweb.org/universidata/resource/municipio/muenchen,https://www.wikidata.org/wiki/Q1726,,,,,,,,,,,,UCM-32870a9c3259b17b675abae563b30b1a,2019-09-01,2020-07-01
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2019-20,7000030,Doble Grado Derecho - Administracion Y Direccion De Empresas,Mujer,UCM-b4353fb42a83ddbd5acc9b762c4dd874,,Erasmus,UCM-0659cac347b286a09ecffff24dcf568f,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-5d8535eae1e7b3e1ba5429c8581e1e27,1999,UCM-b1151d063df1ce4a032d3d70938ab7a6,Grado,UCM-808678c1bd9bdf644b29155ff162cebe,F Lyon62,Idrac International School Of Management,http://www.semanticweb.org/universidata/resource/universidad/idrac-international-school-of-management,,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,,Lyon Cedex 09,http://www.semanticweb.org/universidata/resource/municipio/lyon-cedex-09,,,,,,,,,,,,,UCM-4d9c2048aa5bf3885d74f56fbf8fcc91,2019-09-01,2020-06-01
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2019-20,7000030,Doble Grado Derecho - Administracion Y Direccion De Empresas,Mujer,UCM-022083982741f2116a832cb784635d0c,,Erasmus,UCM-fcd8e65c3502914ab9c88798dac96ba0,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-73ec10dcc5855d5417e3c01f7419beca,1999,UCM-fbc91dafa848417d20a908f11f15126f,Grado,UCM-bb26f67531085a56a7fa5680a32cab68,,,,,840,Estados Unidos De America,http://www.semanticweb.org/universidata/resource/pais/estados-unidos-de-america,https://www.wikidata.org/wiki/Q30,37.09024,-95.712891,019,Americas,http://www.semanticweb.org/universidata/resource/continente/americas,https://www.wikidata.org/wiki/Q828,021,America Septentrional,http://www.semanticweb.org/universidata/resource/agregacion-paises/america-septentrional,https://www.wikidata.org/wiki/Q2017699,,,,,,,,,,,,,,,,UCM-a3c781f50de5c96593ef2e180e6f6918,2019-09-01,2020-02-01
