cod_universidad_origen,des_universidad_origen,URI_universidad_origen,wikidata_universidad_origen,curso_academico,cod_titulacion_origen,des_titulacion_origen,des_genero,id_matricula_b2,des_tipo_programa_mov,des_programa_movilidad,id_matricula_b3,cod_pais_nacionalidad,des_pais_nacionalidad,URI_pais_nacionalidad,wikidata_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,URI_continente_nacionalidad,wikidata_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,URI_agregacion_paises_nacionalidad,wikidata_agregacion_paises_nacionalidad,id_matricula_b4,anio_nacimiento,id_matricula_b5,des_nivel_formativo_origen,id_matricula_b6,cod_universidad_destino,des_universidad_destino,URI_universidad_destino,wikidata_universidad_destino,cod_pais_univ_destino,des_pais_univ_destino,URI_pais_univ_destino,wikidata_pais_univ_destino,lat_pais_univ_destino,lon_pais_univ_destino,cod_continente_univ_destino,des_continente_univ_destino,URI_continente_univ_destino,wikidata_continente_univ_destino,cod_agregacion_paises_univ_destino,des_agregacion_paises_univ_destino,URI_agregacion_paises_univ_destino,wikidata_agregacion_paises_univ_destino,cod_municipio_destino,des_municipio_destino,URI_municipio_destino,wikidata_municipio_destino,lat_municipio_destino,lon_municipio_destino,cod_comunidad_destino,des_comunidad_destino,URI_comunidad_destino,wikidata_comunidad_destino,cod_provincia_destino,des_provincia_destino,URI_provincia_destino,wikidata_provincia_destino,des_ambito_univ_destino,id_matricula_b7,mes_inicio_programa,mes_fin_programa
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2018-19,2501845,Grado En Educacion Infantil,Mujer,UHU-583ad5f2ecb2ad343ce74c1bbd2de276,Estudios Y/o Proyecto Fin De Grado,Otras Fuera De La Ue,UHU-a2f95ee8ddb36f05eaa05186dd77979e,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-b00b49b0d1ac57e40b4c749a6e749bd3,1996,UHU-fe3393e88432bb68ac9bbe0028f48fea,Grado,UHU-01969d057aa802e00ed157c9b3c1a0bd,,,,,484,Mexico,http://www.semanticweb.org/universidata/resource/pais/mexico,https://www.wikidata.org/wiki/Q96,23.634501,-102.552784,019,Americas,http://www.semanticweb.org/universidata/resource/continente/americas,https://www.wikidata.org/wiki/Q828,419,America Latina Y El Caribe,http://www.semanticweb.org/universidata/resource/agregacion-paises/america-latina-y-el-caribe,https://www.wikidata.org/wiki/Q72829598,,,,,,,,,,,,,,,Educacion,UHU-efca7d3b6dabf4940e2cc8889b1d6b63,2018-09-01,2018-12-01
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2018-19,2501845,Grado En Educacion Infantil,Mujer,UHU-8d553a1151ad81b4da1c4bd19828c106,Estudios Y/o Proyecto Fin De Grado,Erasmus,UHU-2833405b5a5279c2fc986d0bcaf0a914,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-42561a33cf8493c08d80d191f91ce07b,1995,UHU-277e377584823e4df344a3309af080e1,Grado,UHU-13b18f6f71723256dbd8a6dbe507076c,I Bologna01,Universita Di Bologna - Alma Mater Studiorum,http://www.semanticweb.org/universidata/resource/universidad/universita-di-bologna---alma-mater-studiorum,https://www.wikidata.org/wiki/Q131262,380,Italia,http://www.semanticweb.org/universidata/resource/pais/italia,https://www.wikidata.org/wiki/Q38,41.87194,12.56738,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,Bologna,http://www.semanticweb.org/universidata/resource/municipio/bologna,https://www.wikidata.org/wiki/Q1891,,,,,,,,,,,Educacion,UHU-70b58e61fbedaf6a614bd657aa20fc30,2018-09-01,2019-02-01
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2018-19,2501845,Grado En Educacion Infantil,Mujer,UHU-fcb86857f0af79f12d9a55484fcfdbf7,Estudios Y/o Proyecto Fin De Grado,Erasmus,UHU-c1610cf84b14261fdae8bc3ce0cb2322,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-0825e117ab8bc515c2c01903a5d6c2b9,1993,UHU-3d49e16199a4e9e3eeb3fc00b1294d15,Grado,UHU-022fbb4a275eea6f2d42f61d41611d54,Si Ljublja01,Univerza V Ljubljani,http://www.semanticweb.org/universidata/resource/universidad/univerza-v-ljubljani,https://www.wikidata.org/wiki/Q1377,705,Eslovenia,http://www.semanticweb.org/universidata/resource/pais/eslovenia,https://www.wikidata.org/wiki/Q215,46.151241,14.995463,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,Ljubljana,http://www.semanticweb.org/universidata/resource/municipio/ljubljana,https://www.wikidata.org/wiki/Q437,,,,,,,,,,,Educacion,UHU-01ea56aea4194f6e53b16205c8606e01,2018-09-01,2019-09-01
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2018-19,2501845,Grado En Educacion Infantil,Mujer,UHU-e00aa5d31bd684dadfdcb0c3d40ebab8,Estudios + Practicas,Sicue-seneca,UHU-a7bae0fddbe20e8a02adeba9cc0d3bf5,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-674579ed8636dd57f017a10747ca2844,1997,UHU-fc5e71cde88b32a086040efa4e300bc0,Grado,UHU-934d1773ae60061651aade897b0e2385,I Modena01,Universita  Degli Studi Di Modena E Reggio Emilia,http://www.semanticweb.org/universidata/resource/universidad/universita-degli-studi-di-modena-e-reggio-emilia,https://www.wikidata.org/wiki/Q1243705,380,Italia,http://www.semanticweb.org/universidata/resource/pais/italia,https://www.wikidata.org/wiki/Q38,41.87194,12.56738,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,Modena,http://www.semanticweb.org/universidata/resource/municipio/modena,https://www.wikidata.org/wiki/Q279,,,,,,,,,,,Educacion,UHU-63a8ee1e48c1231e7d86109d99c146c2,2018-09-01,2019-02-01
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2018-19,2501845,Grado En Educacion Infantil,Mujer,UHU-867c8e3ff617a2dbd27f630a051acd0b,Estudios Y/o Proyecto Fin De Grado,Sicue-seneca,UHU-ad64e9dd840cd399498c69a2ba3fd0ad,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-6355e6b25d5c4faa1e9056beba155fcc,1996,UHU-c7ccbefaf4d7751ad5274afc91d84ea9,Grado,UHU-1cd0b60a47a30eb6812d8cfd7621d381,017,Universidad De Sevilla,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-sevilla,https://www.wikidata.org/wiki/Q1229996,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,41091,Sevilla,http://www.semanticweb.org/universidata/resource/municipio/sevilla,https://www.wikidata.org/wiki/Q8717,37.38264,-5.996295,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,41,Sevilla,http://www.semanticweb.org/universidata/resource/provincia/sevilla,https://www.wikidata.org/wiki/Q95088,Educacion,UHU-96dab441d23c3e2f3244e1e686519d25,2018-09-01,2019-06-01
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2018-19,2501845,Grado En Educacion Infantil,Mujer,UHU-d516f0a4e5649d8ec71a0e3d54706fb2,Estudios Y/o Proyecto Fin De Grado,Erasmus,UHU-75c9414b07f7d26f1ca85fcdabd2552d,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-6e03b4f28c32e75e214cc4f27fff4a27,1997,UHU-20c47d0441a3e6699a9ba2db47128f6b,Grado,UHU-e002dbc0971b50aa3ba4574c0a009035,Si Ljublja01,Univerza V Ljubljani,http://www.semanticweb.org/universidata/resource/universidad/univerza-v-ljubljani,https://www.wikidata.org/wiki/Q1377,705,Eslovenia,http://www.semanticweb.org/universidata/resource/pais/eslovenia,https://www.wikidata.org/wiki/Q215,46.151241,14.995463,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,Ljubljana,http://www.semanticweb.org/universidata/resource/municipio/ljubljana,https://www.wikidata.org/wiki/Q437,,,,,,,,,,,Educacion,UHU-d6c7114704351805db0c3fd4a1ee3476,2018-09-01,2019-02-01
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2018-19,2501845,Grado En Educacion Infantil,Mujer,UHU-70cde3de8b9c3c26e04e7701d5624ef3,Estudios Y/o Proyecto Fin De Grado,Erasmus,UHU-ce0f116505800004a1d21450e40a1816,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-ebedd68809f12c052a4df011f5ba14b7,1986,UHU-626fff1ac8e87a245d887be5a6b86f60,Grado,UHU-8b5e295dee6b813e1439c36ec4a6c207,017,Universidad De Sevilla,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-sevilla,https://www.wikidata.org/wiki/Q1229996,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,41091,Sevilla,http://www.semanticweb.org/universidata/resource/municipio/sevilla,https://www.wikidata.org/wiki/Q8717,37.38264,-5.996295,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,41,Sevilla,http://www.semanticweb.org/universidata/resource/provincia/sevilla,https://www.wikidata.org/wiki/Q95088,"Ciencias Sociales, Periodismo Y Documentacion",UHU-c2250a5cec6b6b8e0757fd7415b4062e,2018-09-01,2019-09-01
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2018-19,2501846,Grado En Educacion Primaria,Mujer,UHU-873f60e3780db573631ee65f5475c8f8,Estudios Y/o Proyecto Fin De Grado,Erasmus,UHU-ede3f2c2efe2fa0fb3443d47deceac6d,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-ba664c48c860ec9bf56c038d08e1eaea,1998,UHU-64afc8a00da35fc08d83ea5b45d5beef,Grado,UHU-3579c02b4defedd4066279e23700770d,Si Ljublja01,Univerza V Ljubljani,http://www.semanticweb.org/universidata/resource/universidad/univerza-v-ljubljani,https://www.wikidata.org/wiki/Q1377,705,Eslovenia,http://www.semanticweb.org/universidata/resource/pais/eslovenia,https://www.wikidata.org/wiki/Q215,46.151241,14.995463,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,Ljubljana,http://www.semanticweb.org/universidata/resource/municipio/ljubljana,https://www.wikidata.org/wiki/Q437,,,,,,,,,,,Educacion,UHU-627ad56d3ae6c844a6deef16e0313811,2018-09-01,2018-12-01
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2018-19,2501846,Grado En Educacion Primaria,Mujer,UHU-d1b3ec310cb7a33e96cf2f050de2da05,Estudios Y/o Proyecto Fin De Grado,Erasmus,UHU-c5b98db5a04126a4f12c8696441139f8,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-b866a402926f1f10e9531393dac48aa8,1994,UHU-f3fa0cb99fe52a7ebbce404101a1954e,Grado,UHU-b5b427e7eab2a238f4fbb6d1f30a5d4a,I Salerno01,Universita  Degli Studi Di Salerno,http://www.semanticweb.org/universidata/resource/universidad/universita-degli-studi-di-salerno,https://www.wikidata.org/wiki/Q1633215,380,Italia,http://www.semanticweb.org/universidata/resource/pais/italia,https://www.wikidata.org/wiki/Q38,41.87194,12.56738,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,Fisciano salerno,http://www.semanticweb.org/universidata/resource/municipio/fisciano-salerno,,,,,,,,,,,,Educacion,UHU-d6a6510c27fdb24737d0f4fcef95f83d,2018-09-01,2019-01-01
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2018-19,2501846,Grado En Educacion Primaria,Mujer,UHU-f16705e0f9c235b760aff19c65c7be7f,Estudios Y/o Proyecto Fin De Grado,Erasmus,UHU-3c2e2cfa28ad2eebd1e616d3d8695b63,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-0f9e09bf1786459123110a270d6159e5,1997,UHU-3aa1b2e65a175cecd70e8eb00913ed1d,Grado,UHU-796c80935f521df11d169a6fa7f5e5e0,F Caen01,Universite De Caen Basse-normandie,http://www.semanticweb.org/universidata/resource/universidad/universite-de-caen-basse-normandie,https://www.wikidata.org/wiki/Q568554,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,,Caen Cedex 5,http://www.semanticweb.org/universidata/resource/municipio/caen-cedex-5,,,,,,,,,,,,Educacion,UHU-3e61eb039d6fa05ad17421da98deb6be,2018-09-01,2018-12-01
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2018-19,2501846,Grado En Educacion Primaria,Mujer,UHU-b72ca77c75e1b25a9da6a3d079b75c03,Estudios Y/o Proyecto Fin De Grado,Erasmus,UHU-c31d0223a1a2b15806027f78a75ed9b7,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-fc842cab76735c431f23e66f844ff556,1997,UHU-88fc2b10f02bafce542186004029540b,Grado,UHU-2fa9256448fd09f9dd2402a041525359,Pl Olsztyn01,Uniwersytet Warminsko-mazurskie W Olsztynie,http://www.semanticweb.org/universidata/resource/universidad/uniwersytet-warminsko-mazurskie-w-olsztynie,,616,Polonia,http://www.semanticweb.org/universidata/resource/pais/polonia,https://www.wikidata.org/wiki/Q36,51.919438,19.145136,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,151,Europa Oriental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-oriental,https://www.wikidata.org/wiki/Q27468,,Olsztyn,http://www.semanticweb.org/universidata/resource/municipio/olsztyn,https://www.wikidata.org/wiki/Q82765,,,,,,,,,,,Educacion,UHU-22c55d39a51c056fa441381ad893c37b,2018-09-01,2019-02-01
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2018-19,2501846,Grado En Educacion Primaria,Mujer,UHU-018e5984629b6347e3970bb32716e655,Estudios Y/o Proyecto Fin De Grado,Erasmus,UHU-ac625de461acb398d0bc9c4d21cf61ea,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-397aefe5f9ce15ddd2ef9bdcaead7d78,1993,UHU-90532287f9195c28b630323f2a43ba4e,Grado,UHU-4979eab37928df9b5c0edeb3d323b2d5,I Foggia03,Universita  Degli Studi Di Foggia,http://www.semanticweb.org/universidata/resource/universidad/universita-degli-studi-di-foggia,https://www.wikidata.org/wiki/Q617446,380,Italia,http://www.semanticweb.org/universidata/resource/pais/italia,https://www.wikidata.org/wiki/Q38,41.87194,12.56738,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,Foggia,http://www.semanticweb.org/universidata/resource/municipio/foggia,https://www.wikidata.org/wiki/Q13464,,,,,,,,,,,Educacion,UHU-5ceece816e4d4006d05737d6ef0e1e6e,2018-09-01,2019-02-01
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2018-19,2501846,Grado En Educacion Primaria,Mujer,UHU-8da57c1f4fd3278dcf84e2fc4c35bdaf,Estudios + Practicas,Sicue-seneca,UHU-2b01e8d54cc945cd15d2d5e866a34d20,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-90466a98f22f8f5cdc7d1afee2102cef,1997,UHU-2857d7b7b106b6a7738e4edc5a59acd6,Grado,UHU-7109d58208e9a1b3e7a143fe83db5d86,F Caen01,Universite De Caen Basse-normandie,http://www.semanticweb.org/universidata/resource/universidad/universite-de-caen-basse-normandie,https://www.wikidata.org/wiki/Q568554,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,,Caen Cedex 5,http://www.semanticweb.org/universidata/resource/municipio/caen-cedex-5,,,,,,,,,,,,Educacion,UHU-e24d99d75e32116367c36d4391ebe32c,2018-09-01,2019-09-01
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2018-19,2501846,Grado En Educacion Primaria,Mujer,UHU-e012476406ca0644163d8d8b40515c7d,Estudios Y/o Proyecto Fin De Grado,Erasmus,UHU-62fece3e0f93d86697576dd1ced98c9b,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-2c4322ee95b25f0eed0589b0cfb6f7be,1994,UHU-d41f090ceee6f8d23ad288b69d6c392f,Grado,UHU-322dc4870ca9e6d7cdd30cc035679121,I Bergamo01,Universita Degli Studi Di Bergamo,http://www.semanticweb.org/universidata/resource/universidad/universita-degli-studi-di-bergamo,https://www.wikidata.org/wiki/Q45855,380,Italia,http://www.semanticweb.org/universidata/resource/pais/italia,https://www.wikidata.org/wiki/Q38,41.87194,12.56738,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,Bergamo,http://www.semanticweb.org/universidata/resource/municipio/bergamo,https://www.wikidata.org/wiki/Q628,,,,,,,,,,,Educacion,UHU-16441fc4982f74948475043af98c88b4,2018-09-01,2019-02-01
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2018-19,2501846,Grado En Educacion Primaria,Mujer,UHU-8db0fdd07a711a95026db69c4e54a662,Solo Practicas,Erasmus,UHU-5e34b91327a2355c31fd631fc0261e34,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-ed13263714b4babc6ff16f8d324434b5,1993,UHU-25d408a39481183f97b13f5b37349454,Grado,UHU-549ace1dffb0faa10afb4768446f8f57,I Bologna01,Universita Di Bologna - Alma Mater Studiorum,http://www.semanticweb.org/universidata/resource/universidad/universita-di-bologna---alma-mater-studiorum,https://www.wikidata.org/wiki/Q131262,380,Italia,http://www.semanticweb.org/universidata/resource/pais/italia,https://www.wikidata.org/wiki/Q38,41.87194,12.56738,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,Bologna,http://www.semanticweb.org/universidata/resource/municipio/bologna,https://www.wikidata.org/wiki/Q1891,,,,,,,,,,,Educacion,UHU-067ca659bc0df5df0fa20aa8c689110b,2018-09-01,2019-02-01
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2018-19,2501846,Grado En Educacion Primaria,Mujer,UHU-f2553aa32783c07ff0914eb8db5c95d3,Estudios Y/o Proyecto Fin De Grado,Erasmus,UHU-6b5ab24e4db468fa2b587c392e7755c7,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-9f6c2bfa992be61f34941aa3e776b11a,1994,UHU-b5092635635b69b482956266ca78199e,Grado,UHU-df6e751a3ee4e24854e16327b3fd844a,I Bergamo01,Universita Degli Studi Di Bergamo,http://www.semanticweb.org/universidata/resource/universidad/universita-degli-studi-di-bergamo,https://www.wikidata.org/wiki/Q45855,380,Italia,http://www.semanticweb.org/universidata/resource/pais/italia,https://www.wikidata.org/wiki/Q38,41.87194,12.56738,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,Bergamo,http://www.semanticweb.org/universidata/resource/municipio/bergamo,https://www.wikidata.org/wiki/Q628,,,,,,,,,,,Educacion,UHU-f5b4cff9518c19b86b01f0055db2b6c4,2018-09-01,2019-02-01
